Source,Target,Weight
181,205,1
22,14,1
55,56,1
35,38,1
175,170,1
95,83,1
198,207,1
32,50,1
98,102,1
187,188,1
94,83,1
106,115,1
147,148,1
102,82,1
91,84,1
98,78,1
48,36,1
222,232,1
98,79,1
181,189,1
49,28,1
195,206,1
187,190,1
54,62,1
222,231,1
204,191,1
29,38,1
156,163,1
92,95,1
9,18,1
66,57,1
21,14,1
74,84,1
89,99,1
59,64,1
121,115,1
146,149,1
27,46,1
116,123,1
79,86,1
160,157,1
72,82,1
92,33,1
176,177,1
62,64,1
66,69,1
0,3,1
88,90,1
206,207,1
172,177,1
7,17,1
47,48,1
49,41,1
27,41,1
199,202,1
211,215,1
72,102,1
181,188,1
56,61,1
176,154,1
46,42,1
239,236,1
36,39,1
61,65,1
180,191,1
94,96,1
116,109,1
205,208,1
154,169,1
89,104,1
179,202,1
180,204,1
89,98,1
145,153,1
174,175,1
188,189,1
58,60,1
221,229,1
23,17,1
166,154,1
81,82,1
34,37,1
205,206,1
47,50,1
199,182,1
185,192,1
200,183,1
51,42,1
66,67,1
157,158,1
27,39,1
96,85,1
92,84,1
211,214,1
102,104,1
146,150,1
166,183,1
150,153,1
95,103,1
79,83,1
156,162,1
51,41,1
74,33,1
48,30,1
55,65,1
195,199,1
195,205,1
91,95,1
11,13,1
66,63,1
130,134,1
221,222,1
152,141,1
207,192,1
82,87,1
155,202,1
201,182,1
94,95,1
99,103,1
202,193,1
52,69,1
95,96,1
100,79,1
152,153,1
52,67,1
150,141,1
197,199,1
27,38,1
88,95,1
166,182,1
39,41,1
89,82,1
40,43,1
60,64,1
31,43,1
52,63,1
146,151,1
177,170,1
49,40,1
101,82,1
93,99,1
166,177,1
160,163,1
48,50,1
233,234,1
67,65,1
195,197,1
92,79,1
73,102,1
12,17,1
32,30,1
74,89,1
92,93,1
106,107,1
183,186,1
54,58,1
118,119,1
139,142,1
232,229,1
79,87,1
126,127,1
123,114,1
72,94,1
76,85,1
184,185,1
93,104,1
233,224,1
23,10,1
82,86,1
161,165,1
202,192,1
102,86,1
69,59,1
96,86,1
76,80,1
93,76,1
53,61,1
179,195,1
23,18,1
107,108,1
24,17,1
51,39,1
184,186,1
99,83,1
203,187,1
46,40,1
67,69,1
144,175,1
120,108,1
73,76,1
155,162,1
211,216,1
76,87,1
34,43,1
211,212,1
27,44,1
166,178,1
46,30,1
67,63,1
106,113,1
209,219,1
135,137,1
46,41,1
101,84,1
195,189,1
204,194,1
101,104,1
19,24,1
91,92,1
93,82,1
79,80,1
139,146,1
21,13,1
46,28,1
178,169,1
75,33,1
144,147,1
155,185,1
33,85,1
197,204,1
102,79,1
19,10,1
47,30,1
69,62,1
90,103,1
73,89,1
41,42,1
121,114,1
39,40,1
207,194,1
186,188,1
117,114,1
11,18,1
198,200,1
142,143,1
209,211,1
152,143,1
105,116,1
200,193,1
80,82,1
26,43,1
117,115,1
56,65,1
95,33,1
17,18,1
200,166,1
166,192,1
181,207,1
155,187,1
101,78,1
8,17,1
172,168,1
85,86,1
164,157,1
26,51,1
94,99,1
28,29,1
37,42,1
107,119,1
167,169,1
77,85,1
74,95,1
179,196,1
10,14,1
68,58,1
163,164,1
210,215,1
111,112,1
233,228,1
199,185,1
166,204,1
202,204,1
188,194,1
239,240,1
225,228,1
46,35,1
70,64,1
35,43,1
240,237,1
198,199,1
196,194,1
96,97,1
153,159,1
153,158,1
50,33,1
28,43,1
106,118,1
116,111,1
103,75,1
179,182,1
101,33,1
73,96,1
166,173,1
45,41,1
196,183,1
220,226,1
148,153,1
162,158,1
14,15,1
19,18,1
197,192,1
75,84,1
222,226,1
231,230,1
72,81,1
93,102,1
100,87,1
140,145,1
22,18,1
72,100,1
222,223,1
198,202,1
45,46,1
12,16,1
220,223,1
209,216,1
210,216,1
51,33,1
70,65,1
117,120,1
108,113,1
203,185,1
72,98,1
38,42,1
71,59,1
219,212,1
94,103,1
44,34,1
160,161,1
205,182,1
166,170,1
47,32,1
144,143,1
150,152,1
72,73,1
119,115,1
45,34,1
93,98,1
207,193,1
197,206,1
73,83,1
97,87,1
112,113,1
177,154,1
152,154,1
97,75,1
12,13,1
81,87,1
98,100,1
208,189,1
206,193,1
74,83,1
100,80,1
10,13,1
226,227,1
66,68,1
181,194,1
179,185,1
88,82,1
156,159,1
24,11,1
15,18,1
139,149,1
204,193,1
175,154,1
173,170,1
209,215,1
104,82,1
180,203,1
105,108,1
30,36,1
71,56,1
96,83,1
197,203,1
226,229,1
139,151,1
12,14,1
201,208,1
32,51,1
100,101,1
22,24,1
29,43,1
108,112,1
176,170,1
176,178,1
196,193,1
197,188,1
234,229,1
72,74,1
120,111,1
53,67,1
97,80,1
2,4,1
53,69,1
54,57,1
74,96,1
166,187,1
92,100,1
200,194,1
180,206,1
78,83,1
107,109,1
104,76,1
75,79,1
180,205,1
103,84,1
221,230,1
239,241,1
118,108,1
88,104,1
26,45,1
71,60,1
103,83,1
188,193,1
51,38,1
77,79,1
50,31,1
199,184,1
28,34,1
32,37,1
89,76,1
150,143,1
183,189,1
2,6,1
179,190,1
215,218,1
56,60,1
201,183,1
72,78,1
68,71,1
103,33,1
95,84,1
165,158,1
166,191,1
202,203,1
165,159,1
199,208,1
209,214,1
88,103,1
154,167,1
179,184,1
196,166,1
155,184,1
203,184,1
202,206,1
22,16,1
91,100,1
180,188,1
50,39,1
21,11,1
182,189,1
234,227,1
53,63,1
102,80,1
182,193,1
52,68,1
102,87,1
88,99,1
200,191,1
21,17,1
83,85,1
206,192,1
90,94,1
99,84,1
97,82,1
117,109,1
162,163,1
93,80,1
185,186,1
154,142,1
215,213,1
195,196,1
206,194,1
204,189,1
54,66,1
75,86,1
72,79,1
57,62,1
121,113,1
198,192,1
120,109,1
89,95,1
26,36,1
45,42,1
231,233,1
89,33,1
38,41,1
29,39,1
96,75,1
166,208,1
50,40,1
92,82,1
94,101,1
31,37,1
220,228,1
74,75,1
139,152,1
180,207,1
195,182,1
198,194,1
217,219,1
166,171,1
198,204,1
221,233,1
100,86,1
119,114,1
102,75,1
149,153,1
33,37,1
190,194,1
67,59,1
181,199,1
110,114,1
207,183,1
140,144,1
25,16,1
91,94,1
47,49,1
50,41,1
88,102,1
145,143,1
105,111,1
198,203,1
29,35,1
202,186,1
50,28,1
92,104,1
181,184,1
121,122,1
118,113,1
35,42,1
107,113,1
67,58,1
38,40,1
93,87,1
172,173,1
220,221,1
48,42,1
89,75,1
144,153,1
69,71,1
26,48,1
97,99,1
155,205,1
146,141,1
210,195,1
178,154,1
25,12,1
74,103,1
174,167,1
92,81,1
82,85,1
183,191,1
107,122,1
70,58,1
169,170,1
26,27,1
70,55,1
96,80,1
196,187,1
103,86,1
51,30,1
196,191,1
183,193,1
32,34,1
57,64,1
49,31,1
110,115,1
74,88,1
1,6,1
19,13,1
101,75,1
153,157,1
110,111,1
26,37,1
71,64,1
34,38,1
86,87,1
48,41,1
91,77,1
162,157,1
181,185,1
102,33,1
58,59,1
172,170,1
4,6,1
8,22,1
201,192,1
182,187,1
91,81,1
220,232,1
88,78,1
44,29,1
179,205,1
234,238,1
164,158,1
1,4,1
164,159,1
26,50,1
181,197,1
225,226,1
179,188,1
181,202,1
7,11,1
73,85,1
99,33,1
85,87,1
70,59,1
155,188,1
180,199,1
19,14,1
72,97,1
197,194,1
22,9,1
33,39,1
119,108,1
204,207,1
31,33,1
9,11,1
20,17,1
72,86,1
119,120,1
93,101,1
105,119,1
179,186,1
97,104,1
197,191,1
195,216,1
90,100,1
200,184,1
200,185,1
172,176,1
90,81,1
46,50,1
59,63,1
102,83,1
236,238,1
195,183,1
203,193,1
181,195,1
7,16,1
139,141,1
124,109,1
91,98,1
92,102,1
183,192,1
94,82,1
195,190,1
170,171,1
181,187,1
233,223,1
196,203,1
196,192,1
66,59,1
198,206,1
96,87,1
220,231,1
44,43,1
29,33,1
95,82,1
44,32,1
123,111,1
123,112,1
153,163,1
118,121,1
39,42,1
139,140,1
109,114,1
227,228,1
28,40,1
44,45,1
156,160,1
3,5,1
28,41,1
90,78,1
140,143,1
27,30,1
44,51,1
24,12,1
47,29,1
196,204,1
45,40,1
50,35,1
54,70,1
145,142,1
98,81,1
116,118,1
180,197,1
71,61,1
56,62,1
92,98,1
91,102,1
168,170,1
68,64,1
199,201,1
89,90,1
175,176,1
201,204,1
71,65,1
166,205,1
89,96,1
208,186,1
145,148,1
234,224,1
21,10,1
71,58,1
198,186,1
2,5,1
94,104,1
176,171,1
75,87,1
66,64,1
97,76,1
201,191,1
234,228,1
48,38,1
78,86,1
52,59,1
75,80,1
186,189,1
117,124,1
165,157,1
32,29,1
81,83,1
89,84,1
90,79,1
8,19,1
49,38,1
234,225,1
46,48,1
23,24,1
96,101,1
95,99,1
166,188,1
122,111,1
207,186,1
199,155,1
234,236,1
223,230,1
67,68,1
183,194,1
152,142,1
47,34,1
32,43,1
92,99,1
101,85,1
205,189,1
79,82,1
173,154,1
88,98,1
179,194,1
8,11,1
31,39,1
63,64,1
155,208,1
118,123,1
95,104,1
33,81,1
69,70,1
94,87,1
144,178,1
208,191,1
67,71,1
205,187,1
46,36,1
42,43,1
80,81,1
89,83,1
187,192,1
205,188,1
95,100,1
107,117,1
94,80,1
205,207,1
45,28,1
166,203,1
102,103,1
174,169,1
166,206,1
101,83,1
109,115,1
197,166,1
9,17,1
52,64,1
241,237,1
30,37,1
197,193,1
181,200,1
25,9,1
45,32,1
22,12,1
73,97,1
118,120,1
93,96,1
147,150,1
76,79,1
23,9,1
67,64,1
195,192,1
88,79,1
220,225,1
140,153,1
48,33,1
91,96,1
179,155,1
224,230,1
106,121,1
27,50,1
180,187,1
107,123,1
117,110,1
220,234,1
99,81,1
22,23,1
96,103,1
139,154,1
176,168,1
217,218,1
189,193,1
195,187,1
145,149,1
206,188,1
93,97,1
54,55,1
156,157,1
99,100,1
155,160,1
106,124,1
49,33,1
99,82,1
47,43,1
146,154,1
98,85,1
8,10,1
207,191,1
74,80,1
240,234,1
111,114,1
68,59,1
27,49,1
63,65,1
8,18,1
139,153,1
172,178,1
202,189,1
144,170,1
232,230,1
57,59,1
212,214,1
7,20,1
27,48,1
146,142,1
197,186,1
129,132,1
19,17,1
78,82,1
50,38,1
122,109,1
144,152,1
99,104,1
73,86,1
100,104,1
188,191,1
218,213,1
95,79,1
72,85,1
123,108,1
240,238,1
91,83,1
223,229,1
93,86,1
195,213,1
52,71,1
93,83,1
144,171,1
121,123,1
184,192,1
69,58,1
60,61,1
104,84,1
224,229,1
119,122,1
160,153,1
240,241,1
160,165,1
33,43,1
26,30,1
100,82,1
80,83,1
155,189,1
105,124,1
118,112,1
172,154,1
209,195,1
1,3,1
166,168,1
232,236,1
88,81,1
94,79,1
81,84,1
55,60,1
7,10,1
77,87,1
212,213,1
146,143,1
101,102,1
20,14,1
179,207,1
120,110,1
201,194,1
203,207,1
198,205,1
185,193,1
27,32,1
68,65,1
97,85,1
180,202,1
144,141,1
30,34,1
208,194,1
77,80,1
217,212,1
8,24,1
103,77,1
104,78,1
62,65,1
74,87,1
28,31,1
104,33,1
206,186,1
195,203,1
28,39,1
195,191,1
185,189,1
196,206,1
73,99,1
158,159,1
103,87,1
203,189,1
96,104,1
103,80,1
155,157,1
28,35,1
95,81,1
58,63,1
119,113,1
90,82,1
89,81,1
27,51,1
198,188,1
57,58,1
75,82,1
110,112,1
45,49,1
1,5,1
179,189,1
199,194,1
77,82,1
166,190,1
96,99,1
121,108,1
188,192,1
173,174,1
95,102,1
3,6,1
122,113,1
139,143,1
73,101,1
107,112,1
201,203,1
73,104,1
9,13,1
208,192,1
78,85,1
173,175,1
132,134,1
196,188,1
90,84,1
209,212,1
211,195,1
145,146,1
233,226,1
49,39,1
198,193,1
210,212,1
3,4,1
125,128,1
202,194,1
94,86,1
80,84,1
183,188,1
155,207,1
98,77,1
107,111,1
231,229,1
239,232,1
56,63,1
145,151,1
198,166,1
95,98,1
186,187,1
9,14,1
185,194,1
116,124,1
145,150,1
173,176,1
119,112,1
105,110,1
74,101,1
215,217,1
73,82,1
20,13,1
140,141,1
231,227,1
182,185,1
72,93,1
163,159,1
111,115,1
45,33,1
208,188,1
102,84,1
180,200,1
184,190,1
155,190,1
187,191,1
216,218,1
34,39,1
54,60,1
94,97,1
53,62,1
196,197,1
122,123,1
161,163,1
190,193,1
70,71,1
74,82,1
130,132,1
147,149,1
96,82,1
50,42,1
27,37,1
74,104,1
196,199,1
201,205,1
7,15,1
30,43,1
180,189,1
129,130,1
29,31,1
88,94,1
147,151,1
101,76,1
56,57,1
155,163,1
53,64,1
89,94,1
89,100,1
74,91,1
80,33,1
239,237,1
76,86,1
200,201,1
88,100,1
66,65,1
52,58,1
122,112,1
33,34,1
110,113,1
204,184,1
59,65,1
199,186,1
201,206,1
58,65,1
144,177,1
38,39,1
93,75,1
19,21,1
189,194,1
48,28,1
121,111,1
220,224,1
241,236,1
208,193,1
26,32,1
100,85,1
197,183,1
53,59,1
79,85,1
112,115,1
202,207,1
91,76,1
48,40,1
118,122,1
28,33,1
184,191,1
161,157,1
139,144,1
52,65,1
74,99,1
201,186,1
222,230,1
55,61,1
92,76,1
201,188,1
19,16,1
12,15,1
47,51,1
195,204,1
48,49,1
107,118,1
161,159,1
35,39,1
96,33,1
231,223,1
201,207,1
80,85,1
20,24,1
202,208,1
205,184,1
119,123,1
8,15,1
156,161,1
45,48,1
204,187,1
130,133,1
216,217,1
166,186,1
36,37,1
73,91,1
205,185,1
52,70,1
73,80,1
208,190,1
240,236,1
54,61,1
203,205,1
200,207,1
2,3,1
147,142,1
232,228,1
92,85,1
99,102,1
208,183,1
92,83,1
224,228,1
44,49,1
166,167,1
59,60,1
150,151,1
45,36,1
106,119,1
32,39,1
140,150,1
222,229,1
223,228,1
200,187,1
190,191,1
69,61,1
50,30,1
201,193,1
235,236,1
7,25,1
180,196,1
60,65,1
120,113,1
68,63,1
48,31,1
221,232,1
44,50,1
103,76,1
186,193,1
184,188,1
89,91,1
102,77,1
91,85,1
180,182,1
221,231,1
151,141,1
182,191,1
195,155,1
160,164,1
8,25,1
209,218,1
69,56,1
231,232,1
84,85,1
74,86,1
49,43,1
221,228,1
177,169,1
120,122,1
107,121,1
49,29,1
54,56,1
75,76,1
117,112,1
89,77,1
200,189,1
116,121,1
116,110,1
20,18,1
33,42,1
196,205,1
66,70,1
204,185,1
180,201,1
93,95,1
7,23,1
155,183,1
215,219,1
25,10,1
96,84,1
205,193,1
215,216,1
69,65,1
30,42,1
73,87,1
37,38,1
76,84,1
91,75,1
144,145,1
7,12,1
101,77,1
56,64,1
123,109,1
207,190,1
47,38,1
44,48,1
61,63,1
102,78,1
99,78,1
105,109,1
113,114,1
147,154,1
221,223,1
229,230,1
46,34,1
47,39,1
100,76,1
44,30,1
155,194,1
199,183,1
46,32,1
72,103,1
118,115,1
133,134,1
64,65,1
30,41,1
79,84,1
74,97,1
90,85,1
44,37,1
123,124,1
203,188,1
181,190,1
56,58,1
129,134,1
173,177,1
161,158,1
67,60,1
21,15,1
4,5,1
20,22,1
95,78,1
197,201,1
26,47,1
77,84,1
198,208,1
32,33,1
89,87,1
97,81,1
52,62,1
26,49,1
144,168,1
21,25,1
89,92,1
190,192,1
235,232,1
23,12,1
154,141,1
206,183,1
206,208,1
172,175,1
90,104,1
119,121,1
55,59,1
166,189,1
72,92,1
140,151,1
8,12,1
215,214,1
232,223,1
109,113,1
27,43,1
88,93,1
40,42,1
218,212,1
151,153,1
113,115,1
195,201,1
48,39,1
166,194,1
232,237,1
99,76,1
10,15,1
156,165,1
145,147,1
97,79,1
124,110,1
231,228,1
67,56,1
30,40,1
218,214,1
8,23,1
51,43,1
68,55,1
73,93,1
90,99,1
180,190,1
79,33,1
179,191,1
0,6,1
44,36,1
31,42,1
34,35,1
88,85,1
76,81,1
11,12,1
186,194,1
149,143,1
33,82,1
20,11,1
75,78,1
192,194,1
68,69,1
0,4,1
92,96,1
105,107,1
181,208,1
223,224,1
25,18,1
70,62,1
75,85,1
140,146,1
176,167,1
207,208,1
236,237,1
33,40,1
154,170,1
102,76,1
53,68,1
55,64,1
234,226,1
32,31,1
94,85,1
106,108,1
46,29,1
118,114,1
121,112,1
155,164,1
197,155,1
187,193,1
197,198,1
105,118,1
202,190,1
175,169,1
104,80,1
103,78,1
23,16,1
89,80,1
9,15,1
216,213,1
140,152,1
167,168,1
53,58,1
153,165,1
220,233,1
47,33,1
46,43,1
101,87,1
97,100,1
149,154,1
163,157,1
7,9,1
77,33,1
132,133,1
166,207,1
109,112,1
233,230,1
41,43,1
21,16,1
49,51,1
164,165,1
101,80,1
45,37,1
66,62,1
199,193,1
27,45,1
95,76,1
26,44,1
199,166,1
104,87,1
235,237,1
196,208,1
27,36,1
106,116,1
107,114,1
36,38,1
72,91,1
67,62,1
74,85,1
155,186,1
30,33,1
72,77,1
136,138,1
51,36,1
40,41,1
196,207,1
91,104,1
175,167,1
52,55,1
177,167,1
71,55,1
199,192,1
36,43,1
213,214,1
60,63,1
104,77,1
68,57,1
199,203,1
121,109,1
166,184,1
96,79,1
21,23,1
74,79,1
95,85,1
103,85,1
181,201,1
108,110,1
196,182,1
155,153,1
73,103,1
235,239,1
27,29,1
53,71,1
144,173,1
34,40,1
11,15,1
32,40,1
108,109,1
140,142,1
179,204,1
201,202,1
8,9,1
21,12,1
207,185,1
9,10,1
31,41,1
195,214,1
91,82,1
100,78,1
155,165,1
234,223,1
16,18,1
107,120,1
181,183,1
93,103,1
220,229,1
155,203,1
8,20,1
155,191,1
140,154,1
211,218,1
28,42,1
203,204,1
161,162,1
195,208,1
100,83,1
218,219,1
24,16,1
204,182,1
166,172,1
29,40,1
233,227,1
26,46,1
140,149,1
155,204,1
148,151,1
179,180,1
179,206,1
116,119,1
46,51,1
98,33,1
226,228,1
26,40,1
51,37,1
10,16,1
202,184,1
192,193,1
222,227,1
179,193,1
67,61,1
72,80,1
180,208,1
97,78,1
70,61,1
203,186,1
73,79,1
199,191,1
47,31,1
203,206,1
100,102,1
196,189,1
195,219,1
31,40,1
61,62,1
179,166,1
210,218,1
7,21,1
178,170,1
231,224,1
96,100,1
26,28,1
25,15,1
76,82,1
197,184,1
52,56,1
52,60,1
72,87,1
34,42,1
223,226,1
30,35,1
94,102,1
174,168,1
90,83,1
77,83,1
66,55,1
120,114,1
180,184,1
75,83,1
198,183,1
91,99,1
32,41,1
34,41,1
200,182,1
58,64,1
176,169,1
98,83,1
99,79,1
13,15,1
101,86,1
147,143,1
98,75,1
107,115,1
224,226,1
180,185,1
211,213,1
120,115,1
196,190,1
91,78,1
70,56,1
83,84,1
116,108,1
88,76,1
78,80,1
30,39,1
7,22,1
28,38,1
92,78,1
195,198,1
155,161,1
56,59,1
45,43,1
90,98,1
67,70,1
69,60,1
166,169,1
27,34,1
102,81,1
99,85,1
106,110,1
66,71,1
45,47,1
54,65,1
234,237,1
90,75,1
140,147,1
144,167,1
155,206,1
206,191,1
90,87,1
72,101,1
197,185,1
198,191,1
117,119,1
145,154,1
198,155,1
139,148,1
146,152,1
163,165,1
97,98,1
179,203,1
196,200,1
231,234,1
232,226,1
21,9,1
32,38,1
174,171,1
88,92,1
94,76,1
122,114,1
221,234,1
167,171,1
37,43,1
135,136,1
197,208,1
205,194,1
203,192,1
182,190,1
52,61,1
155,156,1
179,192,1
175,177,1
183,187,1
97,102,1
173,169,1
92,94,1
166,202,1
146,153,1
29,42,1
206,190,1
35,41,1
78,79,1
160,159,1
160,158,1
195,215,1
10,12,1
44,47,1
105,115,1
172,174,1
180,195,1
26,41,1
93,77,1
200,202,1
49,34,1
24,9,1
168,171,1
122,115,1
201,189,1
79,81,1
0,5,1
29,41,1
92,86,1
98,86,1
124,108,1
8,16,1
30,31,1
50,36,1
149,141,1
184,187,1
100,81,1
35,40,1
199,204,1
32,28,1
182,183,1
131,132,1
78,87,1
20,10,1
89,103,1
90,102,1
92,75,1
66,58,1
181,198,1
91,86,1
151,152,1
207,182,1
100,75,1
181,182,1
55,58,1
8,21,1
45,29,1
70,60,1
89,93,1
92,97,1
221,224,1
181,196,1
204,190,1
221,225,1
46,49,1
154,143,1
91,97,1
225,230,1
203,194,1
202,185,1
14,18,1
155,192,1
55,62,1
26,42,1
54,63,1
118,109,1
106,123,1
180,181,1
69,63,1
97,103,1
94,81,1
76,77,1
90,91,1
209,210,1
10,17,1
150,154,1
181,191,1
46,37,1
88,77,1
23,25,1
54,69,1
74,76,1
196,202,1
107,124,1
222,225,1
29,36,1
38,43,1
225,229,1
196,186,1
207,187,1
91,80,1
222,234,1
199,188,1
68,56,1
72,89,1
122,110,1
44,42,1
144,151,1
105,120,1
53,57,1
219,213,1
92,87,1
24,14,1
197,182,1
166,201,1
90,80,1
220,227,1
13,18,1
174,176,1
29,37,1
182,186,1
155,159,1
102,85,1
84,87,1
7,19,1
206,185,1
81,86,1
95,77,1
92,80,1
195,194,1
21,22,1
26,39,1
33,84,1
52,54,1
94,100,1
148,150,1
78,81,1
54,67,1
156,158,1
147,153,1
68,62,1
25,17,1
121,124,1
116,115,1
37,40,1
20,25,1
68,60,1
88,91,1
199,205,1
203,182,1
53,70,1
54,71,1
20,9,1
161,164,1
96,102,1
181,203,1
210,213,1
32,42,1
124,115,1
37,41,1
175,168,1
94,77,1
61,64,1
126,128,1
131,134,1
234,230,1
80,87,1
20,15,1
185,188,1
73,95,1
50,51,1
109,111,1
233,229,1
173,168,1
73,77,1
183,184,1
179,198,1
153,143,1
198,185,1
72,96,1
200,208,1
180,155,1
188,190,1
197,202,1
196,185,1
1,2,1
103,79,1
153,142,1
178,167,1
172,167,1
44,46,1
210,211,1
57,61,1
184,193,1
92,101,1
153,154,1
27,47,1
146,148,1
68,61,1
125,127,1
23,15,1
217,214,1
166,174,1
33,36,1
105,114,1
144,146,1
202,187,1
204,183,1
49,36,1
119,111,1
33,86,1
206,182,1
200,204,1
46,33,1
106,112,1
106,109,1
199,206,1
208,187,1
99,77,1
235,240,1
118,110,1
73,84,1
90,96,1
93,78,1
144,172,1
232,241,1
19,23,1
59,62,1
26,33,1
231,225,1
130,131,1
195,202,1
200,190,1
222,233,1
44,41,1
48,32,1
98,101,1
91,101,1
0,1,1
98,84,1
123,115,1
154,168,1
90,101,1
182,194,1
117,122,1
149,151,1
137,138,1
116,114,1
28,37,1
117,121,1
76,78,1
121,110,1
147,141,1
82,84,1
10,11,1
117,113,1
75,81,1
7,24,1
93,100,1
204,208,1
122,124,1
89,85,1
200,188,1
72,90,1
216,219,1
49,37,1
195,207,1
93,81,1
205,186,1
195,193,1
203,191,1
55,57,1
141,142,1
210,217,1
104,85,1
82,83,1
232,233,1
155,158,1
72,83,1
72,84,1
74,93,1
69,55,1
172,169,1
195,166,1
200,192,1
45,38,1
48,34,1
7,8,1
19,22,1
227,230,1
96,98,1
45,51,1
48,43,1
98,99,1
44,40,1
127,128,1
74,102,1
197,190,1
51,31,1
185,187,1
168,169,1
98,87,1
173,171,1
91,87,1
57,60,1
32,35,1
155,201,1
33,83,1
62,63,1
48,29,1
12,18,1
72,88,1
103,81,1
203,190,1
232,240,1
181,186,1
55,63,1
73,33,1
93,79,1
145,141,1
53,66,1
53,65,1
75,77,1
157,159,1
24,13,1
195,218,1
90,76,1
206,184,1
226,230,1
124,114,1
200,206,1
27,42,1
47,35,1
96,78,1
215,212,1
106,122,1
95,86,1
223,225,1
7,18,1
120,121,1
72,33,1
108,111,1
148,149,1
93,94,1
31,36,1
44,38,1
177,168,1
99,86,1
196,184,1
96,81,1
117,108,1
179,201,1
95,97,1
88,80,1
144,174,1
88,87,1
235,241,1
46,31,1
139,145,1
202,191,1
162,164,1
94,98,1
36,42,1
209,217,1
160,162,1
98,80,1
105,117,1
184,194,1
150,142,1
22,11,1
195,200,1
205,183,1
198,184,1
166,185,1
58,62,1
200,203,1
161,153,1
116,120,1
198,187,1
19,11,1
167,170,1
19,12,1
73,90,1
46,39,1
129,133,1
36,41,1
225,227,1
231,226,1
224,225,1
99,101,1
173,167,1
204,205,1
36,40,1
95,80,1
33,87,1
105,122,1
11,17,1
235,234,1
25,11,1
37,39,1
148,142,1
104,75,1
174,177,1
116,112,1
53,56,1
94,84,1
181,206,1
222,224,1
88,89,1
105,121,1
148,152,1
50,37,1
27,31,1
189,192,1
49,32,1
166,193,1
179,181,1
180,198,1
9,12,1
148,154,1
206,187,1
44,33,1
141,143,1
189,190,1
24,18,1
13,14,1
199,189,1
195,186,1
207,184,1
202,182,1
57,65,1
105,113,1
0,2,1
97,33,1
151,154,1
191,193,1
90,86,1
179,199,1
15,16,1
33,41,1
119,124,1
88,101,1
68,70,1
90,97,1
47,41,1
51,29,1
54,59,1
116,117,1
83,86,1
151,142,1
235,238,1
175,171,1
100,33,1
195,184,1
108,114,1
144,150,1
44,28,1
184,189,1
180,186,1
140,148,1
53,60,1
70,63,1
149,150,1
174,178,1
51,34,1
123,110,1
89,79,1
209,213,1
136,137,1
208,184,1
89,101,1
216,214,1
28,30,1
195,185,1
187,194,1
179,183,1
98,104,1
198,190,1
204,188,1
26,38,1
80,86,1
178,168,1
66,60,1
74,94,1
78,33,1
200,205,1
29,30,1
78,84,1
193,194,1
94,78,1
174,170,1
200,155,1
221,226,1
76,33,1
91,79,1
101,79,1
28,36,1
72,95,1
232,234,2
22,15,1
178,171,1
162,153,1
203,208,1
22,13,1
94,33,1
222,228,1
76,83,1
207,189,1
66,56,1
15,17,1
39,43,1
114,115,1
95,101,1
185,190,1
197,187,1
19,9,1
27,40,1
74,100,1
203,183,1
144,169,1
232,238,1
19,20,1
90,92,1
72,75,1
9,16,1
201,184,1
98,82,1
120,123,1
124,112,1
100,84,1
50,34,1
199,207,1
182,192,1
153,141,1
96,76,1
187,189,1
13,16,1
156,153,1
182,188,1
195,212,1
