Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"严恭","Northeast","Changchun Film Studio (2)","Director","Director (2)"
1,"林蓝","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"赵维勤","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
3,"李锡祥","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
4,"张筠英","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
5,"张园","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
6,"郭允泰","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
7,"史林","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
8,"黄素影","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
9,"吕大渝","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
10,"柳青","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
11,"姚相","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
12,"吴文敏","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
13,"刘家彬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
14,"陈克然","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
15,"赵维仁","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
16,"赵鹤年","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
17,"王龙楣","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
18,"王玲","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
19,"郭言","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
20,"高光","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
21,"范基伯","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
22,"梁玉章","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
23,"王光明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
24,"张金兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
25,"蔡新和","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
26,"连城","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
