Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"武兆堤","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Director","Director (1)"
1,"黎静","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"白德彰","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
3,"张风翔","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
4,"宋宝义","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
5,"韩绍君","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
6,"刘宝树","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
7,"吉有","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
8,"李颜","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
9,"王延盛","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
10,"张延","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
11,"褚大章","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
12,"郭文路","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
13,"佟学多","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
14,"黄延恩","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
15,"王洁人","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
16,"舒笑言","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","摄影","摄影 (1)"
17,"王继贤","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","美术","美术 (1)"
18,"陈明","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","作曲","作曲 (1)"
19,"申顾礼","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","录音","录音 (1)"
20,"张恩荣","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","军事顾问","军事顾问 (1)"
21,"徐坦","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","副导演","副导演 (1)"
22,"王恩春","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","剧务主任","剧务主任 (1)"
23,"蔡光","Northeast","Changchun Film Studio (3) & Xi'an Film Studio (1)","特技设计","特技设计 (3)"
24,"彭守仁","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","特技摄影","特技摄影 (1)"
25,"阎序忠","Northeast","Changchun Film Studio (3) & Xi'an Film Studio (1)","特技摄影","特技摄影 (3)"
26,"王文起","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","照明","照明 (1)"
27,"刘英","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","剪接","剪接 (1)"
28,"李大奈","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","烟火设计","烟火设计 (1)"
29,"毕泽普","Northeast","Changchun Film Studio (2) & Xi'an Film Studio (1)","化妆","化妆 (2)"
30,"王永瑞","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","置景","置景 (1)"
31,"蒋文歧","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","服装","服装 (1)"
32,"秦国良","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","道具","道具 (1)"
33,"尹升山","Northeast","Changchun Film Studio (2) & Xi'an Film Studio (1)","指挥","指挥 (2)"
34,"刘国权","Northeast","Changchun Film Studio (1)","Director","Director (1)"
35,"赵树理","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
36,"郝聘芝","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
37,"吴婉芝","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
38,"郭金顺","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
39,"郭堂虎","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
40,"高玉林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
41,"李素秋","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
42,"宋清秀","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
43,"温喜志","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
44,"徐执中","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
45,"王凤姣","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
46,"薛万春","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
47,"刘坤为","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
48,"刘洪铭","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
49,"刘金乃","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
50,"孙世祥","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
51,"张禹田","Northeast","Changchun Film Studio (1)","编曲","编曲 (1)"
52,"石岩","Northeast","Changchun Film Studio (1)","编曲","编曲 (1)"
53,"佟宗德","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
54,"程联考","Northeast","Changchun Film Studio (1)","舞台导演","舞台导演 (1)"
55,"姜树森","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
56,"王书斌","Northeast","Changchun Film Studio (1)","剧务主任","剧务主任 (1)"
57,"孙英男","Northeast","Changchun Film Studio (1)","特技设计","特技设计 (1)"
58,"刘春海","Northeast","Changchun Film Studio (1)","特技摄影","特技摄影 (1)"
59,"刘朝元","Northeast","Changchun Film Studio (1)","置景","置景 (1)"
60,"王凤武","Northeast","Changchun Film Studio (1)","照明","照明 (1)"
61,"张立棠","Northeast","Changchun Film Studio (1)","化妆","化妆 (1)"
62,"李景文","Northeast","Changchun Film Studio (1)","化妆","化妆 (1)"
63,"何绪成","Northeast","Changchun Film Studio (1)","道具","道具 (1)"
64,"梁砚田","Northeast","Changchun Film Studio (1)","服装","服装 (1)"
65,"杨秉坤","Northeast","Changchun Film Studio (1)","剪接","剪接 (1)"
66,"蔡振亚","Northeast","Changchun Film Studio (1)","Director","Director (1)"
67,"南京市越剧团创作组集体创作-计大为","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
68,"叶至诚","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
69,"竺水招","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
70,"商芳臣","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
71,"筱水招","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
72,"蒋鸿鳌","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
73,"张玉琴","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
74,"应鸣凤","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
75,"周福香","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
76,"俞韵","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
77,"季雅芳","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
78,"吴国疆","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
79,"崔永泉","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
80,"陈德生","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
81,"王元坚","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
82,"白崇岩","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
83,"叶正","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
84,"张剑平","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
85,"杨颀","Northeast","Changchun Film Studio (1)","舞台导演","舞台导演 (1)"
86,"李松鹤","Northeast","Changchun Film Studio (1)","身段指导","身段指导 (1)"
87,"郑九皋","Northeast","Changchun Film Studio (1)","剧务主任","剧务主任 (1)"
88,"李永生","Northeast","Changchun Film Studio (1)","化妆","化妆 (1)"
89,"李树林","Northeast","Changchun Film Studio (1)","照明","照明 (1)"
90,"周骅","Northeast","Changchun Film Studio (1)","剪接","剪接 (1)"
91,"吴凤娇","Northeast","Changchun Film Studio (1)","剪接","剪接 (1)"
92,"林农","Northeast","Changchun Film Studio (1)","Director","Director (1)"
93,"希侬","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
94,"叶楠","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
95,"陈颍","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
96,"李雄飞","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
97,"杜梨","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
98,"李默然","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
99,"浦克","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
100,"王秋颍","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
101,"周文彬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
102,"李颉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
103,"庞学勤","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
104,"冯振舟","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
105,"郭文林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
106,"孙笑非","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
107,"胡振和","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
108,"董润泉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
109,"宋雪娟","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
110,"任伟民","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
111,"张巨光","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
112,"许志余","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
113,"金林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
114,"方化","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
115,"白玫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
116,"靳维民","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
117,"库拉克夫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
118,"鲁斯拉诺夫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
119,"王启民","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
120,"卢淦","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
121,"张棣昌","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
