Id,Label,GeoCategory,Affilations,Main Role,All Roles
875,"张岚","Beijing","August First Film Studio (1)","副导演","副导演 (1)"
876,"钟岳","Beijing","August First Film Studio (2)","摄影 | 特技摄影","特技摄影 (1) & 摄影 (1)"
877,"杨森","Beijing","August First Film Studio (1)","特技设计","特技设计 (1)"
878,"张志英","Beijing","August First Film Studio (1)","制片主任","制片主任 (1)"
879,"史文帜","Beijing","August First Film Studio (1)","Director","Director (1)"
880,"马吉星","Beijing","August First Film Studio (2)","Scriptwriter","Scriptwriter (2)"
881,"王伯玲","Beijing","August First Film Studio (1)","Acting","Acting (1)"
882,"张良","Beijing","August First Film Studio (2)","Acting","Acting (2)"
883,"邢吉田","Beijing","August First Film Studio (2)","Acting","Acting (2)"
884,"杨振淮","Beijing","August First Film Studio (1)","Acting","Acting (1)"
885,"贾学武","Beijing","August First Film Studio (1)","Acting","Acting (1)"
886,"姚永悦","Beijing","August First Film Studio (1)","Acting","Acting (1)"
887,"高俊卿","Beijing","August First Film Studio (1)","Acting","Acting (1)"
888,"冯振坤","Beijing","August First Film Studio (1)","Acting","Acting (1)"
889,"郑咸雯","Beijing","August First Film Studio (1)","Acting","Acting (1)"
890,"邢路","Beijing","August First Film Studio (1)","Acting","Acting (1)"
891,"郑重","Beijing","August First Film Studio (1)","Acting","Acting (1)"
892,"王治安","Beijing","August First Film Studio (1)","Acting","Acting (1)"
893,"道洛霍夫","Beijing","August First Film Studio (1)","Acting","Acting (1)"
894,"裴有友","Beijing","August First Film Studio (1)","Acting","Acting (1)"
895,"王运庭","Beijing","August First Film Studio (1)","Acting","Acting (1)"
896,"维佳","Beijing","August First Film Studio (1)","Acting","Acting (1)"
897,"娜嘉","Beijing","August First Film Studio (1)","Acting","Acting (1)"
898,"张展望","Beijing","August First Film Studio (1)","Acting","Acting (1)"
899,"曹进云","Beijing","August First Film Studio (2)","摄影","摄影 (2)"
900,"方绪智","Beijing","August First Film Studio (1)","美工","美工 (1)"
901,"寇鸿烈","Beijing","August First Film Studio (2)","美术设计 | 美工","美工 (1) & 美术设计 (1)"
902,"王震亚","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
903,"景慕逵","Beijing","August First Film Studio (2)","副导演","副导演 (2)"
904,"陈国强","Beijing","August First Film Studio (1)","剪辑","剪辑 (1)"
905,"张岱","Beijing","August First Film Studio (1)","特技设计","特技设计 (1)"
906,"张志楚","Beijing","August First Film Studio (1)","剧务主任","剧务主任 (1)"
907,"韩中杰","Beijing","August First Film Studio (1)","指挥","指挥 (1)"
908,"董兆琪","Beijing","August First Film Studio (1)","Director","Director (1)"
909,"陈其通","Beijing","August First Film Studio (1)","Scriptwriter","Scriptwriter (1)"
910,"李冰","Beijing","August First Film Studio (1)","Acting","Acting (1)"
911,"姜鸿刚","Beijing","August First Film Studio (1)","Acting","Acting (1)"
912,"董志远","Beijing","August First Film Studio (1)","Acting","Acting (1)"
913,"单涤","Beijing","August First Film Studio (1)","Acting","Acting (1)"
914,"李路林","Beijing","August First Film Studio (1)","Acting","Acting (1)"
915,"张海仑","Beijing","August First Film Studio (1)","Acting","Acting (1)"
916,"崔永昌","Beijing","August First Film Studio (1)","Acting","Acting (1)"
917,"王群","Beijing","August First Film Studio (1)","Acting","Acting (1)"
918,"王淑惠","Beijing","August First Film Studio (1)","Acting","Acting (1)"
919,"刘致中","Beijing","August First Film Studio (1)","Acting","Acting (1)"
920,"张越男","Beijing","August First Film Studio (1)","Acting","Acting (1)"
921,"严碌","Beijing","August First Film Studio (1)","Acting","Acting (1)"
922,"赵树清","Beijing","August First Film Studio (1)","Acting","Acting (1)"
923,"刘平人","Beijing","August First Film Studio (1)","Acting","Acting (1)"
924,"刘广义","Beijing","August First Film Studio (1)","Acting","Acting (1)"
925,"聂茂林","Beijing","August First Film Studio (1)","Acting","Acting (1)"
926,"韦林岳","Beijing","August First Film Studio (1)","摄影","摄影 (1)"
927,"杨昭仁","Beijing","August First Film Studio (1)","摄影","摄影 (1)"
928,"徐润","Beijing","August First Film Studio (1)","美术设计","美术设计 (1)"
929,"庄映","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
930,"陆明","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
931,"何宝锭","Beijing","August First Film Studio (1)","录音","录音 (1)"
932,"王昭琪","Beijing","August First Film Studio (1)","配曲","配曲 (1)"
933,"王万喜","Beijing","August First Film Studio (1)","配曲","配曲 (1)"
934,"龚枚","Beijing","August First Film Studio (2)","特技设计","特技设计 (2)"
935,"谢祀宗","Beijing","August First Film Studio (2)","特技摄影","特技摄影 (2)"
936,"王铁林","Beijing / Sichuan","August First Film Studio (1) & Emei Film Studio (1)","剪接 | 剪辑","剪辑 (1) & 剪接 (1)"
937,"苏凡","Beijing","August First Film Studio (1)","副导演","副导演 (1)"
938,"王永国","Beijing","August First Film Studio (1)","剧务主任","剧务主任 (1)"
939,"张敬舜","Beijing","August First Film Studio (1)","指挥","指挥 (1)"
940,"刘沛然","Beijing","August First Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)"
941,"张勇手","Beijing","August First Film Studio (2)","Acting","Acting (2)"
942,"王润身","Beijing","August First Film Studio (1)","Acting","Acting (1)"
943,"梁志鹏","Beijing","August First Film Studio (1)","Acting","Acting (1)"
944,"崔荣久","Beijing","August First Film Studio (1)","Acting","Acting (1)"
945,"师伟","Beijing","August First Film Studio (1)","Acting","Acting (1)"
946,"王毅","Beijing","August First Film Studio (1)","Acting","Acting (1)"
947,"张驰","Beijing","August First Film Studio (1)","Acting","Acting (1)"
948,"毕饪","Beijing","August First Film Studio (1)","Acting","Acting (1)"
949,"杨成轩","Beijing","August First Film Studio (1)","Acting","Acting (1)"
950,"张怀志","Beijing","August First Film Studio (1)","Acting","Acting (1)"
951,"李力","Beijing","August First Film Studio (1)","Acting","Acting (1)"
952,"曲云","Beijing","August First Film Studio (2)","Acting","Acting (2)"
953,"刘季云","Beijing","August First Film Studio (1)","Acting","Acting (1)"
954,"孟庆芳","Beijing","August First Film Studio (2)","Acting","Acting (2)"
955,"姜湘臣","Beijing","August First Film Studio (1)","Acting","Acting (1)"
956,"陈瑞俊","Beijing","August First Film Studio (1)","摄影","摄影 (1)"
957,"李伟才","Beijing","August First Film Studio (2)","作曲","作曲 (2)"
958,"魏龙","Beijing","August First Film Studio (1)","副导演","副导演 (1)"
959,"邹昕","Beijing","August First Film Studio (1)","剪辑","剪辑 (1)"
960,"孟长安","Beijing","August First Film Studio (1)","化妆","化妆 (1)"
961,"白景晟","Beijing","August First Film Studio (1)","解说","解说 (1)"
962,"邓芳","Beijing","August First Film Studio (1)","制片主任","制片主任 (1)"
963,"黄飞立","Beijing","August First Film Studio (1)","指挥","指挥 (1)"
964,"高伟","Beijing","August First Film Studio (1)","指挥","指挥 (1)"
965,"王少岩","Beijing / Sichuan","August First Film Studio (1) & Emei Film Studio (1)","Director","Director (2)"
966,"王峰章","Beijing","August First Film Studio (1)","Director","Director (1)"
967,"谭家够","Beijing","August First Film Studio (1)","Acting","Acting (1)"
968,"韩玉杰","Beijing","August First Film Studio (1)","Acting","Acting (1)"
969,"王瑞霞","Beijing","August First Film Studio (1)","Acting","Acting (1)"
970,"宋德","Beijing","August First Film Studio (1)","Acting","Acting (1)"
971,"杜继文","Beijing","August First Film Studio (1)","Acting","Acting (1)"
972,"王凤英","Beijing","August First Film Studio (1)","Acting","Acting (1)"
973,"杜鹃","Beijing","August First Film Studio (1)","Acting","Acting (1)"
974,"邹戈","Beijing","August First Film Studio (1)","Acting","Acting (1)"
