Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"林农","Northeast","Changchun Film Studio (3)","Director","Director (2) & Acting (1)"
1,"费礼文","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"任颐","Northeast","Changchun Film Studio (3) & Harbin Film Studio (1)","Acting","Acting (3)"
3,"张园","Northeast","Changchun Film Studio (2) & Harbin Film Studio (1)","Acting","Acting (2)"
4,"严学勤","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
5,"陈强","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
6,"吴必克","Northeast","Changchun Film Studio (4) & Harbin Film Studio (1)","Acting","Acting (4)"
7,"张健佑","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
8,"刘茂勤","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
9,"王启民","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
10,"孙世祥","Northeast","Changchun Film Studio (3)","美术","美术 (2) & 美工 (1)"
11,"高如星","Beijing","Changchun Film Studio (1) & August First Film Studio (2)","作曲","作曲 (3)"
12,"陈文渊","Northeast","Changchun Film Studio (3)","录音","录音 (3)"
13,"尹升山","Northeast","Changchun Film Studio (14) & Harbin Film Studio (1) & Inner Mongolia Film Studio (1) & Xi'an Film Studio (1)","指挥","指挥 (15)"
14,"曾未之","Northeast","Changchun Film Studio (1)","Director","Director (1)"
15,"王根柱","Northeast","Changchun Film Studio (2)","Scriptwriter","Scriptwriter (2)"
16,"申英","Northeast","Changchun Film Studio (2) & Inner Mongolia Film Studio (1)","Acting","Acting (2)"
17,"田洪超","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
18,"任文秀","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
19,"周文彬","Northeast","Changchun Film Studio (4)","Acting","Acting (4)"
20,"刘世龙","Northeast","Changchun Film Studio (3) & Inner Mongolia Film Studio (1)","Acting","Acting (3)"
21,"郭怡","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
