Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"尹一青","Northeast","Changchun Film Studio (1)","Director","Director (1)"
1,"杨润身","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"郭筠","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
3,"艾洪力","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
4,"杜德夫","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
5,"潘淑兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
6,"黄玲","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
7,"李克明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
8,"高平","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
9,"夏佩杰","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
10,"田烈","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
11,"张巨光","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
12,"宋雪娟","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
13,"孙笑非","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
14,"尉骞","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
15,"李自强","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
16,"刘振中","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
17,"张翠","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
18,"童景文","Northeast","Changchun Film Studio (3)","美工","美术 (1) & 美工 (2)"
19,"陈明","Northeast","Changchun Film Studio (3)","作曲","作曲 (2) & 音乐编辑 (1)"
20,"阙敬修","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
21,"弘波","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
22,"刘力","Northeast","Changchun Film Studio (2)","制片","制片 (2)"
23,"王枫","Northeast","Changchun Film Studio (2)","副导演","副导演 (2)"
24,"郑宝森","Northeast","Changchun Film Studio (3)","化妆","化妆 (3)"
25,"赵淑莲","Northeast","Changchun Film Studio (1)","剪辑","剪辑 (1)"
26,"祖述志","Northeast","Changchun Film Studio (2)","剪接 | 剪辑","剪辑 (1) & 剪接 (1)"
27,"李克武","Northeast","Changchun Film Studio (1)","指挥","指挥 (1)"
28,"张凤翔","Northeast","Changchun Film Studio (2)","副导演 | Director","Director (1) & 副导演 (1)"
29,"赛时礼","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
30,"梁音","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
31,"张继强","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
32,"仉长波","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
33,"王健华","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
34,"石天","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
35,"张延","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
36,"李干","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
37,"宋保义","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
38,"沈大成","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
39,"李月年","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
40,"方化","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
41,"王洁人","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
42,"孙敖","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
43,"金林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
44,"崔超明","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
45,"吴国疆","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
46,"王桂枝","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
47,"孙世祥","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
48,"张兆瑞","Northeast","Changchun Film Studio (1)","制片","制片 (1)"
49,"韩敏","Northeast","Changchun Film Studio (2)","副导演","副导演 (2)"
50,"赵福顺","Northeast","Changchun Film Studio (1)","化妆","化妆 (1)"
51,"汪永康","Northeast","Changchun Film Studio (1)","特技设计","特技设计 (1)"
52,"彭守仁","Northeast","Changchun Film Studio (2)","特技摄影","特技摄影 (2)"
53,"尚德惠","Northeast","Changchun Film Studio (1)","烟火","烟火 (1)"
54,"尹升山","Northeast","Changchun Film Studio (4)","指挥","指挥 (4)"
55,"王家乙","Northeast","Changchun Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)"
56,"杨苏","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
57,"李鉴尧","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
58,"梅普玛鲁","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
59,"木定马都","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
60,"达奇","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
61,"张园","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
62,"苏迈","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
63,"施玛波","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
