Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"黄粲","Northeast","Changchun Film Studio (2)","Director","Director (2)"
1,"应慈","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"任桂林","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
3,"王玉堂","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
4,"印质明","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
5,"刘增庆","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
6,"徐世彦","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
7,"向隽殊","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
8,"李景波","Northeast","Changchun Film Studio (2) & Beijing Film Studio (1)","Acting","Acting (3)"
9,"李颉","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
10,"叶琳琅","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
11,"高均","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
12,"安震江","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
13,"赵联","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
14,"李雨农","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
15,"张凤翔","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
16,"刘作常","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
17,"李林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
18,"葬一萍","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
19,"李亚林","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
20,"贺汝瑜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
21,"蓝群","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
22,"聂晶","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
23,"董萍","Northeast","Changchun Film Studio (2)","布景设计 | 美术设计","布景设计 (1) & 美术设计 (1)"
24,"王博","Northeast","Changchun Film Studio (2)","作曲","作曲 (2)"
25,"娄彰后","Northeast","Changchun Film Studio (3)","作曲","作曲 (2) & 编曲 (1)"
26,"袁明达","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
27,"陈怀皑","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","副导演","副导演 (2)"
28,"傅正义","Northeast","Changchun Film Studio (1)","剪接","剪接 (1)"
29,"潘英","Northeast","Changchun Film Studio (2)","剧务主任","剧务主任 (2)"
30,"尹升山","Northeast","Changchun Film Studio (5) & Shanghai Film Studio (1)","指挥","指挥 (6)"
31,"伊琳","Northeast","Changchun Film Studio (2)","Director","Director (2)"
32,"西戎","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
33,"马烽","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
34,"葛振邦","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
35,"杜征","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
36,"丁惟敏","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
37,"王执芳","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
38,"韩焱","Northeast","Changchun Film Studio (2) & Beijing Film Studio (1)","Acting","Acting (3)"
39,"王景芳","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
40,"许诚","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
41,"于中义","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
42,"任伟民","Northeast","Changchun Film Studio (4)","Acting","Acting (4)"
43,"高平","Northeast","Changchun Film Studio (4)","Acting","Acting (4)"
44,"程晨","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
45,"梁音","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
46,"于春早","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
47,"王健","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
48,"高荣第","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
49,"朱林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
50,"赵宝华","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
51,"邓少荫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
52,"彭勃","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
53,"张扬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
54,"郑晓君","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
55,"马明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
56,"王启民","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
57,"童景文","Northeast","Changchun Film Studio (3)","美术设计","美术设计 (3)"
58,"苏民","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
59,"申顾礼","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
60,"雷铿","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
61,"罗泰","Northeast","Changchun Film Studio (2)","Scriptwriter | 副导演","副导演 (1) & Scriptwriter (1)"
62,"廖凡","Northeast","Changchun Film Studio (2)","剧务主任","剧务主任 (2)"
63,"陈秉中","Northeast","Changchun Film Studio (1)","特技设计","特技设计 (1)"
64,"郭甲东","Northeast","Changchun Film Studio (1)","特技摄影","特技摄影 (1)"
65,"吕班","Northeast","Changchun Film Studio (2)","Director","Director (2)"
66,"于彦夫","Beijing / Northeast","Changchun Film Studio (1) & Central Newsreel and Documentary Film Studio (1)","Scriptwriter","Scriptwriter (2)"
67,"陈光廷","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
68,"崔照升","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
69,"浦克","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
70,"苏剑峰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
71,"张辉","Shanghai (state) / Northeast","Changchun Film Studio (1) & Shanghai Film Studio (1)","Acting","Acting (2)"
72,"方化","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
73,"王春泉","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
74,"李季达","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
75,"汪滔","Northeast","Changchun Film Studio (3)","美术设计","美术设计 (2) & 美术 (1)"
76,"隋锡忠","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
77,"陈致远","Northeast","Changchun Film Studio (3)","剧务主任","剧务主任 (3)"
78,"马琳","Northeast","Changchun Film Studio (6)","指挥","指挥 (6)"
79,"李恩杰","Northeast","Changchun Film Studio (1)","Director","Director (1)"
80,"林艺","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
81,"秦怡","Northeast","Changchun Film Studio (2) & Shanghai Film Studio (1)","Acting","Acting (3)"
82,"黄非","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
83,"刘振中","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
84,"凌元","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
85,"苑小君","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
86,"蓝兰","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
87,"高博","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
88,"穆宏","Shanghai (state) / Northeast","Changchun Film Studio (1) & Shanghai Film Studio (1)","Acting","Acting (2)"
89,"王春英","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
90,"李萌","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
91,"孟舜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
92,"黄素影","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
93,"韩仲良","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
94,"雷振邦","Northeast","Changchun Film Studio (2)","指挥 | 作曲","作曲 (1) & 指挥 (1)"
95,"王兴文","Northeast","Changchun Film Studio (2)","布景设计 | 美工","布景设计 (1) & 美工 (1)"
96,"洪嘉惠","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
97,"马瑜","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
98,"刘水航","Northeast","Changchun Film Studio (1)","剧务主任","剧务主任 (1)"
99,"苏里","Northeast","Changchun Film Studio (1)","Director","Director (1)"
100,"严恭","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
101,"苏立群","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
102,"柳乃林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
103,"熊塞声","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
104,"戚丽","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
105,"王滨","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
106,"李东东","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
107,"欧阳明德","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
108,"田燕","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
109,"李光惠","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
110,"全如玢","Northeast","Changchun Film Studio (2)","作曲","作曲 (2)"
111,"阙敬修","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
112,"王岚","Northeast","Changchun Film Studio (2) & Shanghai Film Studio (1)","Acting | 副导演 | Director","副导演 (1) & Director (1) & Acting (1)"
113,"郭镇铤","Northeast","Changchun Film Studio (1)","副摄影","副摄影 (1)"
114,"刘力","Northeast","Changchun Film Studio (2)","助理导演 | 剧务主任","剧务主任 (1) & 助理导演 (1)"
115,"袁乃晨","Northeast","Changchun Film Studio (1)","Director","Director (1)"
116,"雷鉴","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
117,"席与明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
118,"周文彬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
119,"潘德民","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
120,"马世达","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
121,"马陋夫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
122,"葛伟卿","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
123,"李凝","Northeast","Changchun Film Studio (2)","作曲","作曲 (2)"
124,"敬然","Northeast","Changchun Film Studio (1)","剧务主任","剧务主任 (1)"
125,"王崇","Northeast","Changchun Film Studio (1)","美术设计","美术设计 (1)"
126,"张剑平","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
127,"张辛实","Northeast","Changchun Film Studio (2)","Director","Director (2)"
128,"刘国权","Northeast","Changchun Film Studio (2)","Director","Director (2)"
129,"赵羽翔","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
130,"李树谷","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
131,"田吉海","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
132,"王雨竹","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
133,"张云","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
134,"吴桂林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
135,"吴振德","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
