王少梅,Shanghai (state),Northeast Film Studio (1) & Shanghai Film Studio (1) & Haiyan Film Studio (1) & Hong Kong Dapeng Film Company (1),1949,Northeast,False
李锦富,Northeast,Northeast Film Studio (1),1949,Northeast,False
艾云鹏,Northeast,Northeast Film Studio (1),1949,Northeast,False
马玺林,Northeast,Northeast Film Studio (1),1949,Northeast,False
吴伯仁,Northeast,Northeast Film Studio (1),1949,Northeast,False
刘增文,Northeast,Northeast Film Studio (1),1949,Northeast,False
乔传荣,Northeast,Northeast Film Studio (1),1949,Northeast,False
周献,Northeast,Northeast Film Studio (1),1949,Northeast,False
丁克明,Northeast,Northeast Film Studio (1),1949,Northeast,False
王玉湖,Northeast,Northeast Film Studio (1),1949,Northeast,False
孟庆祥,Northeast,Northeast Film Studio (1),1949,Northeast,False
吴长龙,Northeast,Northeast Film Studio (1),1949,Northeast,False
成立业,Beijing,Northeast Film Studio (1) & August First Film Studio (5),1949,Northeast,False
周顺礼,Northeast,Northeast Film Studio (1),1949,Northeast,False
李白水,Northeast,Northeast Film Studio (1),1949,Northeast,False
李光惠,Northeast,Northeast Film Studio (4) & Changchun Film Studio (13),1949,Northeast,False
朱革,Northeast,Northeast Film Studio (4) & Central Newsreel and Documentary Film Studio (1),1949,Northeast,False
吴因,Northeast,Northeast Film Studio (1),1949,Northeast,False
巩志伟,Beijing,Northeast Film Studio (1) & August First Film Studio (11),1949,Northeast,False
张棣昌,Northeast,Northeast Film Studio (5) & Changchun Film Studio (12),1949,Northeast,False
陈文渊,Northeast,Northeast Film Studio (6) & Changchun Film Studio (11),1949,Northeast,False
陈田,Northeast,Northeast Film Studio (3),1949,Northeast,False
李存邦,Northeast,Northeast Film Studio (21),1949,Northeast,False
唐顺,Northeast,Northeast Film Studio (2),1949,Northeast,False
贾文锦,Northeast,Northeast Film Studio (4),1949,Northeast,False
王光彦,Northeast,Northeast Film Studio (3) & Beijing Film Studio (1),1949,Northeast,False
郭奕,Northeast,Northeast Film Studio (3),1949,Northeast,False
罗泰,Northeast,Northeast Film Studio (5) & Changchun Film Studio (4),1949,Northeast,False
许珂,Beijing,Northeast Film Studio (2) & Beijing Film Studio (5) & Anhui Film Studio (1),1949,Northeast,False
陈波儿,Northeast,Northeast Film Studio (1),1949,Northeast,False
张平,Beijing,Northeast Film Studio (12) & Beijing Film Studio (13) & August First Film Studio (1),1949,Northeast,False
王潍潍,Northeast,Northeast Film Studio (1),1949,Northeast,False
欧阳如秋,Northeast,Northeast Film Studio (3),1949,Northeast,False
张琪,Northeast,Northeast Film Studio (3) & Jiangnan Film Studio (1),1949,Northeast,False
于彦夫,Northeast,Northeast Film Studio (4) & Changchun Film Studio (9) & Central Newsreel and Documentary Film Studio (1) & Harbin Film Studio (1),1949,Northeast,False
张莹,Northeast,Northeast Film Studio (6) & Changchun Film Studio (2) & Tianma Film Studio (1) & Beijing Film Studio (4),1949,Northeast,False
秋晨,Northeast,Northeast Film Studio (2),1949,Northeast,False
王炎,Northeast,Northeast Film Studio (3) & Shanghai Film Studio (2) & Changchun Film Studio (7),1949,Northeast,False
陈克,Shanghai (state) / Northeast,Northeast Film Studio (4) & Shanghai Film Studio (3) & Haiyan Film Studio (1) & Pearl River Film Studio (1),1949,Northeast,False
荆杰,Northeast,Northeast Film Studio (1) & Changchun Film Studio (4),1949,Northeast,False
必克,Northeast,Northeast Film Studio (3),1949,Northeast,False
崔斌,Northeast,Northeast Film Studio (1),1949,Northeast,False
柳唐,Northeast,Northeast Film Studio (1),1949,Northeast,False
蓝旅,Northeast,Northeast Film Studio (1),1949,Northeast,False
傅宏,Northeast,Northeast Film Studio (6),1949,Northeast,False
徐渭,Northeast,Northeast Film Studio (3) & Changchun Film Studio (8),1949,Northeast,False
苏民,Beijing,Northeast Film Studio (2) & Beijing Film Studio (5) & Changchun Film Studio (1),1949,Northeast,False
隋锡忠,Northeast,Northeast Film Studio (4) & Changchun Film Studio (10) & Moscow Film Studio (1),1949,Northeast,False
包万伶,Northeast,Northeast Film Studio (1),1949,Northeast,False
于方,Beijing,Northeast Film Studio (1) & Beijing Film Studio (3),1949,Northeast,False
庞贵,Beijing / Northeast,Northeast Film Studio (2) & Beijing Film Studio (2),1949,Northeast,False
曾希忠,Northeast,Northeast Film Studio (5),1949,Northeast,False
张朴实,Northeast,Northeast Film Studio (3),1949,Northeast,False
李慧颖,Northeast,Northeast Film Studio (3),1949,Northeast,False
李影,Northeast,Northeast Film Studio (2),1949,Northeast,False
薛雁,Northeast,Northeast Film Studio (4),1949,Northeast,False
凌子风,Beijing,Northeast Film Studio (3) & Beijing Film Studio (5) & Shanghai Film Studio (2) & Haiyan Film Studio (1) & Tianjin Film Studio (1) & Hong Kong Jinsheng Film Company (1),1949,Northeast,False
翟强,Northeast,Northeast Film Studio (2),1949,Northeast,False
颜一烟,Beijing,Northeast Film Studio (1) & Beijing Film Studio (3),1949,Northeast,False
张铮,Shanghai (state) / Canton,Northeast Film Studio (1) & Shanghai Film Studio (1) & Jiangnan Film Studio (1) & Haiyan Film Studio (2) & Pearl River Film Studio (4) & Beijing Film Studio (2),1949,Northeast,False
岳慎,Northeast,Northeast Film Studio (2),1949,Northeast,False
柏李,Shanghai (state),Northeast Film Studio (1) & Shanghai Film Studio (2),1949,Northeast,False
秦布华,Northeast,Northeast Film Studio (1),1949,Northeast,False
