Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"郭维","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Director","Director (1)"
1,"马连良","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
2,"张君秋","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
3,"裘盛戎","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
4,"李多奎","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
5,"马盛龙","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
6,"张凤云","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
7,"马长礼","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
8,"刘浦勇","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
9,"颜名芳","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
10,"钮荣亮","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
11,"朱锦华","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
12,"李四广","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
13,"张韵斌","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
14,"朱今琴","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
15,"赵丽秋","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
16,"谭元寿","Hong Kong / Northeast","Changchun Film Studio (1) & Hong Kong Fanhua Film Company (1)","Acting","Acting (1)"
