Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"王家乙","Northeast","Northeast Film Studio (1)","Director","Director (1)"
1,"孙谦","Northeast","Northeast Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"杜德夫","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
3,"李百万","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
4,"刘燕瑾","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
5,"魏华门","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
6,"杨薇","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
7,"王英","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
8,"苗灵","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
9,"于黛琴","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
10,"崔蕴芬","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
11,"欧阳如秋","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
12,"柳毅","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
13,"于洋","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
14,"高平","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
15,"蔺娜","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
16,"顾绍伯","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
17,"吴淑琴","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
18,"曲伟","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
19,"王春泉","Northeast","Northeast Film Studio (1)","摄影","摄影 (1)"
20,"刘学尧","Northeast","Northeast Film Studio (1)","美工","美工 (1)"
21,"张国昌","Northeast","Northeast Film Studio (1)","作曲","作曲 (1)"
22,"林秉成","Northeast","Northeast Film Studio (1)","录音","录音 (1)"
23,"于彦夫","Northeast","Northeast Film Studio (1)","副导演","副导演 (1)"
24,"郝伟光","Northeast","Northeast Film Studio (1)","剧务","剧务 (1)"
25,"郝汉增","Northeast","Northeast Film Studio (1)","照明","照明 (1)"
26,"侯崇","Northeast","Northeast Film Studio (1)","置景","置景 (1)"
27,"李存邦","Northeast","Northeast Film Studio (1)","洗印","洗印 (1)"
28,"黄国强","Northeast","Northeast Film Studio (1)","洗印","洗印 (1)"
29,"于莹","Northeast","Northeast Film Studio (1)","剪接","剪接 (1)"
30,"唐素维","Northeast","Northeast Film Studio (1)","剪接","剪接 (1)"
31,"尹升山","Northeast","Northeast Film Studio (2)","指挥","指挥 (2)"
32,"吕班","Northeast","Northeast Film Studio (1)","Director","Director (1)"
33,"陈明","Northeast","Northeast Film Studio (1)","Scriptwriter","Scriptwriter (1)"
34,"郭振清","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
35,"李晓功","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
36,"李林","Beijing / Northeast","Northeast Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
37,"陈士和","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
38,"刘永才","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
39,"庄焰","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
40,"周凋","Beijing","Northeast Film Studio (1) & Beijing Film Studio (2)","Acting","Acting (3)"
41,"李紫平","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
42,"谢添","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
43,"赵魁英","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
44,"张莹","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
45,"冯明印","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
46,"李时","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
47,"刘影","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
48,"葛存壮","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
49,"梁音","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
50,"赵恩禄","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
51,"沈家麟","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
52,"赵滋民","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
53,"宋华泰","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
54,"杜榆","Northeast","Northeast Film Studio (1)","摄影","摄影 (1)"
55,"张汉臣","Northeast","Northeast Film Studio (1)","美工","美工 (1)"
