沙蒙,Northeast,Northeast Film Studio (1)
于敏,Northeast,Northeast Film Studio (2)
石联星,Northeast,Northeast Film Studio (1)
张莹,Northeast,Northeast Film Studio (3)
欧阳如秋,Northeast,Northeast Film Studio (1)
安琪,Northeast,Northeast Film Studio (2)
方荧,Northeast,Northeast Film Studio (1)
柳塘,Northeast,Northeast Film Studio (1)
杜德夫,Northeast,Northeast Film Studio (5)
马路,Northeast,Northeast Film Studio (6)
杜粹远,Northeast,Northeast Film Studio (2)
刘文华,Northeast,Northeast Film Studio (2)
罗泰,Northeast,Northeast Film Studio (1)
陈克,Northeast,Northeast Film Studio (3)
张平,Northeast,Northeast Film Studio (7)
王炎,Northeast,Northeast Film Studio (1)
刘儒,Northeast,Northeast Film Studio (3)
石灵,Shanghai (private),Northeast Film Studio (1) & Wenhua Film Company (2)
傅杰,Northeast,Northeast Film Studio (4)
梁音,Northeast,Northeast Film Studio (3)
李影,Northeast,Northeast Film Studio (1)
高平,Northeast,Northeast Film Studio (4) & Beijing Film Studio (1)
庞泳汾,Northeast,Northeast Film Studio (2)
尹一青,Northeast,Northeast Film Studio (3)
方化,Beijing / Northeast,Northeast Film Studio (2) & Beijing Film Studio (2)
周克,Northeast,Northeast Film Studio (1)
秋晨,Northeast,Northeast Film Studio (1)
水航,Northeast,Northeast Film Studio (3)
杨振淮,Northeast,Northeast Film Studio (1)
步文令,Northeast,Northeast Film Studio (3)
葛存壮,Northeast,Northeast Film Studio (2)
金风,Northeast,Northeast Film Studio (1)
吴必克,Northeast,Northeast Film Studio (2)
张凤侣,Northeast,Northeast Film Studio (1)
张云芳,Northeast,Northeast Film Studio (1)
庄焰,Northeast,Northeast Film Studio (4)
李慧颖,Northeast,Northeast Film Studio (2)
黄玲,Northeast,Northeast Film Studio (3)
曲伟,Northeast,Northeast Film Studio (3)
吕万营,Northeast,Northeast Film Studio (1)
杨文浩,Northeast,Northeast Film Studio (2)
刘武县,Northeast,Northeast Film Studio (3)
齐兴家,Northeast,Northeast Film Studio (2)
顾绍伯,Northeast,Northeast Film Studio (1)
唐绍峰,Northeast,Northeast Film Studio (1)
薛彦东,Northeast,Northeast Film Studio (2)
苗灵,Northeast,Northeast Film Studio (4)
白德彰,Northeast,Northeast Film Studio (3)
任子华,Northeast,Northeast Film Studio (3)
邱生田,Northeast,Northeast Film Studio (2)
赵滋民,Northeast,Northeast Film Studio (3)
郑芳,Northeast,Northeast Film Studio (2)
白永绥,Northeast,Northeast Film Studio (1)
张敬平,Northeast,Northeast Film Studio (3)
高钧,Northeast,Northeast Film Studio (1)
吴蔚云,Northeast,Northeast Film Studio (2)
包杰,Northeast,Northeast Film Studio (2)
秦威,Beijing,Northeast Film Studio (1) & Beijing Film Studio (2)
张棣昌,Northeast,Northeast Film Studio (2)
阙敬修,Northeast,Northeast Film Studio (2)
辛汉文,Northeast,Northeast Film Studio (5)
王光彦,Northeast,Northeast Film Studio (2)
李树林,Northeast,Northeast Film Studio (3)
田谦,Northeast,Northeast Film Studio (3)
贺靖,Northeast,Northeast Film Studio (5)
刘朝元,Northeast,Northeast Film Studio (3)
张翚,Northeast,Northeast Film Studio (1)
明伟,Northeast,Northeast Film Studio (5)
李存邦,Northeast,Northeast Film Studio (13)
汲永源,Northeast,Northeast Film Studio (2)
沙原,Northeast,Northeast Film Studio (3)
陈致远,Northeast,Northeast Film Studio (2)
许金元,Northeast,Northeast Film Studio (2)
马延芳,Northeast,Northeast Film Studio (2)
王冷,Northeast,Northeast Film Studio (2)
