Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"朱文顺","Northeast","Changchun Film Studio (1)","Director","Director (1)"
1,"尹一青","Northeast","Changchun Film Studio (1)","Director","Director (1)"
2,"蒋述仁","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
3,"丛深","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
4,"郭素琴","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
5,"白玫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
6,"王文林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
7,"李万城","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
8,"李毅","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
9,"郑晓君","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
10,"黄德禄","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
11,"郭素兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
12,"毕夫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
13,"王振荣","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
14,"赵文瑜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
15,"钟丹","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
16,"邵万林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
17,"孙瑞信","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
18,"李晰倩","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
19,"车明","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
20,"赵凤歧","Northeast","Changchun Film Studio (1)","顾问","顾问 (1)"
21,"童景文","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
22,"李文光","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
23,"阙敬修","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
24,"于彦夫","Northeast","Changchun Film Studio (1)","Director","Director (1)"
25,"潘青","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
26,"胡苏","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
27,"梁音","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
28,"郭振清","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
29,"刘增庆","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
30,"田烈","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
31,"贺小书","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
32,"王东甲","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
33,"王延盛","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
34,"谢洪才","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
35,"张英山","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
36,"浦克","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
37,"朱斌","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
38,"方化","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
39,"杨杰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
40,"孙笑非","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
41,"刘振中","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
42,"郑野","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
43,"崔志中","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
44,"王克善","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
45,"孟宪弟","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
46,"王兴文","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
47,"雷振邦","Northeast","Changchun Film Studio (2) & Emei Film Studio (1)","作曲","作曲 (2)"
48,"王非","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
49,"张普人","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
50,"刘国权","Northeast","Changchun Film Studio (1)","Director","Director (1)"
51,"王世荣","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
52,"韩刚","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
53,"张万一","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
54,"王秀兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
55,"李英杰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
56,"王斌","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
57,"王灿","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
58,"张俊芳","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
59,"赵长青","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
60,"梁笑洲","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
61,"姚尚武","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
62,"任洪","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
63,"杨翠花","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
64,"石金善","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
65,"郭高纪","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
66,"景雪风","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
67,"姚秀珍","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
68,"陈廷计","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
69,"张晶祥","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
70,"陈民魂","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
71,"孙世祥","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
72,"纪自强","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
73,"佟宗德","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
74,"王炎","Northeast","Changchun Film Studio (1)","Director","Director (1)"
75,"林杉","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
76,"白杨","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
77,"杨启天","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
78,"白英宽","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
79,"程晨","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
80,"张凤翔","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
81,"马魉夫","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
82,"吴凤兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
83,"印质明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
84,"周文彬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
85,"卢桂兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
86,"马世达","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
87,"李方城","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
88,"张生","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
89,"蓝群","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
90,"张冲霄","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
91,"刘伯弘","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
92,"李林","Beijing / Northeast / Xinjiang","Changchun Film Studio (1) & August First Film Studio (1) & Xinjiang Film Studio (1)","Acting","Acting (2) & 录音 (1)"
93,"王启民","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
94,"常彦","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
95,"张棣昌","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
96,"汪滔","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
97,"陈文渊","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
98,"荆杰","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
99,"王德安","Northeast","Changchun Film Studio (1)","剪接","剪接 (1)"
100,"杨树栋","Northeast","Changchun Film Studio (1)","化妆","化妆 (1)"
101,"尹升山","Northeast","Changchun Film Studio (2)","指挥","指挥 (2)"
102,"蔡振亚","Northeast","Changchun Film Studio (1)","Director","Director (1)"
103,"安徽省怀远县电影剧本创作小组集体创作-蒋庆棣","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
104,"黄启明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
105,"崔娟娟","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
106,"于春燕","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
107,"张建文","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
108,"张亚力","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
109,"姜吉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
110,"叶琳琅","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
111,"薛彦东","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
112,"顾谦","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
113,"冯桂廷","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
114,"李凡","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
115,"林雷松","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
116,"阎祝华","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
117,"张剑平","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
118,"韩敏","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
119,"谢添","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting | Director","Director (1) & Acting (1)"
120,"陈方千","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Director","Director (1)"
121,"徐枫","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Director","Director (1)"
122,"集体创作-梅少山","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Scriptwriter","Scriptwriter (1)"
123,"张敬安","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Scriptwriter | 作曲","Scriptwriter (1) & 作曲 (1)"
124,"王玉珍","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
125,"傅凌","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
126,"章继超","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
127,"程学钦","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
128,"周森冠","Beijing","Beijing Film Studio (2) & Wuhan Film Studio (1)","Acting","Acting (2)"
129,"夏奎斌","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
130,"陈仁萱","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
131,"王正相","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
132,"刘淑琪","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
133,"李金梅","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
134,"徐彬","Beijing / Hubei / Anhui","Beijing Film Studio (1) & Wuhan Film Studio (1) & Anhui Film Studio (1)","摄影 | Acting","Acting (1) & 摄影 (1)"
135,"彭洪钧","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
136,"陈金鹏","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
137,"刘利","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
138,"封顺","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
139,"程小峰","Beijing / Hubei","Beijing Film Studio (1) & Wuhan Film Studio (1)","Acting","Acting (1)"
