Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"郭维","Northeast","Changchun Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)"
1,"王秋颖","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
2,"王景芳","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
3,"郭筠","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
4,"杨启天","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
5,"顾谦","Northeast","Changchun Film Studio (7)","Acting","Acting (7)"
6,"贺汝瑜","Northeast","Changchun Film Studio (3) & Beijing Film Studio (1)","Acting","Acting (4)"
7,"陈立中","Beijing / Shanghai (state) / Anhui / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1) & Anhui Film Studio (1) & Haiyan Film Studio (1)","Acting","Acting (3)"
8,"蒙纳","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
9,"侯旭","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
10,"秦汉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
11,"徐连凯","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
12,"霍克","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
13,"田华","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
14,"陈琳","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
15,"金迪","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
16,"郭振清","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
17,"阎杰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
18,"葛伟卿","Northeast","Changchun Film Studio (3)","摄影","摄影 (3)"
19,"雷振邦","Northeast","Changchun Film Studio (4)","作曲","作曲 (4)"
20,"廖凡","Northeast","Changchun Film Studio (4)","剧务主任","剧务主任 (4)"
21,"王兴文","Northeast","Changchun Film Studio (4)","美术","美术 (3) & 美工 (1)"
22,"申顾礼","Northeast","Changchun Film Studio (3)","录音","录音 (3)"
23,"尹升山","Northeast","Changchun Film Studio (23) & Lanzhou Film Studio (1)","指挥","指挥 (23)"
24,"黄粲","Northeast","Changchun Film Studio (2)","Director","Director (2) & Scriptwriter (1)"
25,"贾乃光","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
26,"黄玲","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
27,"刘儒","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
28,"苑森","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
29,"张健佑","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
30,"周森冠","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)"
31,"李颉","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
32,"梁音","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
33,"黄惠江","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
34,"任颐","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
35,"车轩","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
36,"程世鉴","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
37,"王春泉","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
38,"徐振鹃","Northeast","Changchun Film Studio (1)","布景设计","布景设计 (1)"
39,"李凝","Northeast","Changchun Film Studio (2) & Beijing Film Studio (1)","作曲","作曲 (3)"
40,"隋锡忠","Northeast","Changchun Film Studio (3)","录音","录音 (3)"
41,"贺高英","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
42,"董志国","Northeast","Changchun Film Studio (3)","剧务主任","剧务主任 (3)"
43,"王嘉林","Northeast","Changchun Film Studio (1)","作词","作词 (1)"
44,"苏里","Northeast","Changchun Film Studio (1)","Director","Director (1)"
45,"乔羽","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Scriptwriter | 作词","Scriptwriter (1) & 作词 (1)"
46,"陈克然","Northeast","Changchun Film Studio (4)","Acting","Acting (4)"
47,"王和永","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
48,"关敬熙","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
49,"张延","Northeast","Changchun Film Studio (6)","Acting","Acting (6)"
50,"张巨光","Northeast","Changchun Film Studio (6)","Acting","Acting (6)"
51,"宁和","Beijing / Northeast","Changchun Film Studio (1) & August First Film Studio (1)","Acting","Acting (2)"
52,"陆贞冀","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
53,"刘春申","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
54,"赵滋民","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
55,"金励","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
56,"马明","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
57,"王健华","Northeast","Changchun Film Studio (5)","Acting","Acting (5)"
58,"姚颖","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
59,"安震江","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
60,"孟宪英","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
61,"夏佩杰","Northeast","Changchun Film Studio (5)","Acting","Acting (5)"
62,"李孟尧","Northeast","Changchun Film Studio (3) & Beijing Film Studio (1)","Acting","Acting (4)"
63,"孙笑非","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
64,"章薇","Northeast","Changchun Film Studio (4)","Acting","Acting (4)"
65,"郑晓君","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
66,"李光惠","Northeast","Changchun Film Studio (4)","摄影","摄影 (4)"
