Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"王滨","Northeast","Northeast Film Studio (1)","Director","Director (1)"
1,"于敏","Northeast","Northeast Film Studio (1)","Scriptwriter","Scriptwriter (1)"
2,"王家乙","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
3,"吕班","Northeast","Northeast Film Studio (2)","Acting","Acting (2) & 副导演 (1)"
4,"江浩","Northeast","Northeast Film Studio (2)","剧务 | Acting | 剧务主任","剧务 (1) & Acting (1) & 剧务主任 (1)"
5,"陈强","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
6,"杜德夫","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
7,"于洋","Northeast","Northeast Film Studio (3)","Acting","Acting (3)"
8,"鲁非","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
9,"傅杰","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
10,"袁月华","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
11,"高均","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
12,"王利夫","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
13,"金风","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
14,"武愚","Northeast","Northeast Film Studio (2)","Acting","Acting (2) & 场务 (1)"
15,"柳塘","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
16,"王春英","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
17,"孙笑非","Northeast","Northeast Film Studio (3)","Acting","Acting (3)"
18,"张敬平","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
19,"梁音","Northeast","Northeast Film Studio (3)","Acting","Acting (3)"
20,"苗灵","Northeast","Northeast Film Studio (2)","Acting","Acting (2)"
21,"于致中","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
22,"蔺娜","Northeast","Northeast Film Studio (1)","Acting | 服装","服装 (1) & Acting (1)"
23,"包杰","Northeast","Northeast Film Studio (1)","摄影","摄影 (1)"
24,"刘学尧","Northeast","Northeast Film Studio (2)","美术设计 | 美术","美术 (1) & 美术设计 (1)"
25,"何士德","Northeast","Northeast Film Studio (2)","作曲","作曲 (2)"
26,"吕宪昌","Northeast","Northeast Film Studio (2)","录音","录音 (2)"
27,"马天文","Northeast","Northeast Film Studio (2)","照明","照明 (2)"
28,"世为","Northeast","Northeast Film Studio (3)","特技","特技 (3)"
29,"宋杰","Northeast","Northeast Film Studio (2)","场记","场记 (2)"
30,"潘英","Northeast","Northeast Film Studio (2)","场务","场务 (2)"
31,"董志国","Northeast","Northeast Film Studio (1)","场务","场务 (1)"
32,"牟华","Northeast","Northeast Film Studio (1)","服装","服装 (1)"
33,"毕泽普","Northeast","Northeast Film Studio (1)","化妆","化妆 (1)"
34,"贾益三","Northeast","Northeast Film Studio (2)","道具","道具 (2)"
35,"鲁潍","Northeast","Northeast Film Studio (1)","洗印","洗印 (1)"
36,"安芙梅","Northeast","Northeast Film Studio (2)","剪接","剪接 (2)"
37,"祖述志","Northeast","Northeast Film Studio (1)","剪接","剪接 (1)"
38,"成荫","Northeast","Northeast Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)"
39,"林克","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
40,"关贵祥","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
41,"武兆堤","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
42,"塞声","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
43,"孙辉","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
44,"曹瑞","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
45,"王冰","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
46,"李司野","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
47,"苏里","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
48,"李维新","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
49,"李蒙","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
50,"马学海","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
51,"于钟黎","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
52,"文友","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
53,"黎光","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
54,"王祖述","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
55,"张玉昆","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
56,"邹继才","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
57,"王少梅","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
58,"李锦富","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
59,"艾云鹏","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
60,"马玺林","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
61,"吴伯仁","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
62,"刘增文","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
63,"乔传荣","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
64,"周献","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
65,"丁克明","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
66,"王玉湖","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
67,"孟庆祥","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
68,"吴长龙","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
69,"成立业","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
70,"周顺礼","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
71,"李白水","Northeast","Northeast Film Studio (1)","Acting","Acting (1)"
