film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
Brave People,199,0.1711092003439381,12,13,Non-Chinese,Non-Chinese,1950,Feature,0.14130434782608695
Brave People,201,0.17282889079965605,18,21,Non-Chinese,Non-Chinese,1950,Feature,0.22826086956521738
Brave People,205,0.176268271711092,13,14,Non-Chinese,Non-Chinese,1950,Feature,0.15217391304347827
Brave People,257,0.22098022355975924,13,23,Non-Chinese,Non-Chinese,1950,Feature,0.25
Brave People,259,0.2226999140154772,13,21,Non-Chinese,Non-Chinese,1950,Feature,0.22826086956521738
Brave People,266,0.22871883061049011,14,26,Non-Chinese,Non-Chinese,1950,Feature,0.2826086956521739
Brave People,365,0.3138435081685297,13,13,Non-Chinese,Non-Chinese,1950,Feature,0.14130434782608695
Brave People,993,0.8538263112639725,14,27,Non-Chinese,Non-Chinese,1950,Feature,0.29347826086956524
Brave People,998,0.8581255374032674,13,19,Non-Chinese,Non-Chinese,1950,Feature,0.20652173913043478
Brave People,1065,0.9157351676698194,12,14,Non-Chinese,Non-Chinese,1950,Feature,0.15217391304347827
Brave People,1091,0.938091143594153,11,10,Non-Chinese,Non-Chinese,1950,Feature,0.10869565217391304
Brave People,1127,0.9690455717970765,12,92,Non-Chinese,Non-Chinese,1950,Feature,1.0
Brave People,1129,0.9707652622527945,12,32,Non-Chinese,Non-Chinese,1950,Feature,0.34782608695652173
Brave People,1141,0.9810834049871023,13,12,Non-Chinese,Non-Chinese,1950,Feature,0.13043478260869565
Brave People,1146,0.9853826311263972,11,13,Non-Chinese,Non-Chinese,1950,Feature,0.14130434782608695
Brave People,1148,0.9871023215821152,11,46,Non-Chinese,Non-Chinese,1950,Feature,0.5
Brave People,1153,0.9914015477214101,13,40,Non-Chinese,Non-Chinese,1950,Feature,0.43478260869565216
Brave People,1157,0.9948409286328461,13,40,Non-Chinese,Non-Chinese,1950,Feature,0.43478260869565216
Prologue,44,0.03672787979966611,14,11,Non-Chinese,Non-Chinese,1950,Feature,0.2391304347826087
Prologue,140,0.11686143572621036,11,21,Non-Chinese,Non-Chinese,1950,Feature,0.45652173913043476
Prologue,258,0.21535893155258765,11,12,Non-Chinese,Non-Chinese,1950,Feature,0.2608695652173913
Prologue,261,0.21786310517529214,11,12,Non-Chinese,Non-Chinese,1950,Feature,0.2608695652173913
Prologue,262,0.21869782971619364,12,12,Non-Chinese,Non-Chinese,1950,Feature,0.2608695652173913
Prologue,409,0.34140233722871455,12,17,Non-Chinese,Non-Chinese,1950,Feature,0.3695652173913043
Prologue,498,0.41569282136894825,12,11,Non-Chinese,Non-Chinese,1950,Feature,0.2391304347826087
Prologue,504,0.42070116861435725,12,20,Non-Chinese,Non-Chinese,1950,Feature,0.43478260869565216
Prologue,505,0.42153589315525875,11,12,Non-Chinese,Non-Chinese,1950,Feature,0.2608695652173913
Prologue,617,0.5150250417362271,11,22,Non-Chinese,Non-Chinese,1950,Feature,0.4782608695652174
Prologue,802,0.669449081803005,13,46,Non-Chinese,Non-Chinese,1950,Feature,1.0
Prologue,811,0.6769616026711185,12,34,Non-Chinese,Non-Chinese,1950,Feature,0.7391304347826086
Prologue,985,0.82220367278798,14,13,Non-Chinese,Non-Chinese,1950,Feature,0.2826086956521739
Prologue,986,0.8230383973288815,13,12,Non-Chinese,Non-Chinese,1950,Feature,0.2608695652173913
Prologue,988,0.8247078464106845,12,9,Non-Chinese,Non-Chinese,1950,Feature,0.1956521739130435
Carnival Night,74,0.08545034642032333,16,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,75,0.08660508083140878,14,21,Non-Chinese,Non-Chinese,1950,Feature,0.12209302325581395
Carnival Night,76,0.08775981524249422,14,21,Non-Chinese,Non-Chinese,1950,Feature,0.12209302325581395
Carnival Night,77,0.08891454965357967,13,16,Non-Chinese,Non-Chinese,1950,Feature,0.09302325581395349
Carnival Night,130,0.15011547344110854,13,13,Non-Chinese,Non-Chinese,1950,Feature,0.0755813953488372
Carnival Night,132,0.15242494226327943,11,10,Non-Chinese,Non-Chinese,1950,Feature,0.05813953488372093
Carnival Night,133,0.1535796766743649,12,10,Non-Chinese,Non-Chinese,1950,Feature,0.05813953488372093
Carnival Night,134,0.15473441108545036,16,22,Non-Chinese,Non-Chinese,1950,Feature,0.12790697674418605
Carnival Night,135,0.1558891454965358,16,21,Non-Chinese,Non-Chinese,1950,Feature,0.12209302325581395
Carnival Night,136,0.15704387990762125,11,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,137,0.1581986143187067,14,16,Non-Chinese,Non-Chinese,1950,Feature,0.09302325581395349
Carnival Night,138,0.15935334872979215,13,14,Non-Chinese,Non-Chinese,1950,Feature,0.08139534883720931
Carnival Night,139,0.1605080831408776,12,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,140,0.16166281755196305,12,14,Non-Chinese,Non-Chinese,1950,Feature,0.08139534883720931
Carnival Night,141,0.1628175519630485,11,16,Non-Chinese,Non-Chinese,1950,Feature,0.09302325581395349
Carnival Night,143,0.1651270207852194,16,27,Non-Chinese,Non-Chinese,1950,Feature,0.1569767441860465
Carnival Night,144,0.16628175519630484,16,24,Non-Chinese,Non-Chinese,1950,Feature,0.13953488372093023
Carnival Night,174,0.20092378752886836,13,12,Non-Chinese,Non-Chinese,1950,Feature,0.06976744186046512
Carnival Night,176,0.20323325635103925,12,12,Non-Chinese,Non-Chinese,1950,Feature,0.06976744186046512
Carnival Night,177,0.20438799076212472,14,31,Non-Chinese,Non-Chinese,1950,Feature,0.18023255813953487
