film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
Casablanca,165,0.13403736799350122,0,57,United States,Hollywood,1940,Feature,1.0
Casablanca,208,0.16896831844029245,0,14,United States,Hollywood,1940,Feature,0.24561403508771928
Casablanca,213,0.17303005686433795,0,15,United States,Hollywood,1940,Feature,0.2631578947368421
Casablanca,259,0.21039805036555645,0,13,United States,Hollywood,1940,Feature,0.22807017543859648
Casablanca,262,0.21283509341998375,0,19,United States,Hollywood,1940,Feature,0.3333333333333333
Casablanca,272,0.22095857026807472,0,19,United States,Hollywood,1940,Feature,0.3333333333333333
Casablanca,275,0.22339561332250202,0,12,United States,Hollywood,1940,Feature,0.21052631578947367
Casablanca,328,0.26645004061738425,0,22,United States,Hollywood,1940,Feature,0.38596491228070173
Casablanca,335,0.27213647441104794,0,22,United States,Hollywood,1940,Feature,0.38596491228070173
Casablanca,483,0.3923639317627945,0,41,United States,Hollywood,1940,Feature,0.7192982456140351
Casablanca,504,0.40942323314378554,0,12,United States,Hollywood,1940,Feature,0.21052631578947367
Casablanca,521,0.4232331437855402,0,25,United States,Hollywood,1940,Feature,0.43859649122807015
Casablanca,661,0.536961819658814,0,16,United States,Hollywood,1940,Feature,0.2807017543859649
Casablanca,738,0.5995125913891145,0,23,United States,Hollywood,1940,Feature,0.40350877192982454
Casablanca,739,0.6003249390739236,0,14,United States,Hollywood,1940,Feature,0.24561403508771928
Casablanca,740,0.6011372867587328,0,30,United States,Hollywood,1940,Feature,0.5263157894736842
Casablanca,820,0.6661251015434606,0,18,United States,Hollywood,1940,Feature,0.3157894736842105
Casablanca,883,0.7173030056864338,0,30,United States,Hollywood,1940,Feature,0.5263157894736842
Casablanca,885,0.718927701056052,0,24,United States,Hollywood,1940,Feature,0.42105263157894735
Casablanca,886,0.7197400487408611,0,24,United States,Hollywood,1940,Feature,0.42105263157894735
The Wizard of OZ,309,0.2528641571194763,0,24,United States,Hollywood,1940,Feature,0.32
The Wizard of OZ,331,0.27086743044189854,0,57,United States,Hollywood,1940,Feature,0.76
The Wizard of OZ,337,0.27577741407528644,0,53,United States,Hollywood,1940,Feature,0.7066666666666667
The Wizard of OZ,338,0.2765957446808511,0,34,United States,Hollywood,1940,Feature,0.4533333333333333
The Wizard of OZ,343,0.2806873977086743,0,32,United States,Hollywood,1940,Feature,0.4266666666666667
The Wizard of OZ,382,0.31260229132569556,0,19,United States,Hollywood,1940,Feature,0.25333333333333335
The Wizard of OZ,392,0.32078559738134205,0,16,United States,Hollywood,1940,Feature,0.21333333333333335
The Wizard of OZ,399,0.3265139116202946,0,46,United States,Hollywood,1940,Feature,0.6133333333333333
The Wizard of OZ,733,0.599836333878887,0,45,United States,Hollywood,1940,Feature,0.6
The Wizard of OZ,742,0.6072013093289689,0,9,United States,Hollywood,1940,Feature,0.12
The Wizard of OZ,746,0.6104746317512275,0,31,United States,Hollywood,1940,Feature,0.41333333333333333
The Wizard of OZ,747,0.6112929623567921,0,24,United States,Hollywood,1940,Feature,0.32
The Wizard of OZ,757,0.6194762684124386,0,75,United States,Hollywood,1940,Feature,1.0
The Wizard of OZ,1131,0.925531914893617,0,49,United States,Hollywood,1940,Feature,0.6533333333333333
The Wizard of OZ,1132,0.9263502454991817,0,16,United States,Hollywood,1940,Feature,0.21333333333333335
The Wizard of OZ,1160,0.9492635024549918,0,16,United States,Hollywood,1940,Feature,0.21333333333333335
Great Expectations,183,0.1288732394366197,0,33,United States,Hollywood,1940,Feature,0.7333333333333333
Great Expectations,214,0.15070422535211267,0,28,United States,Hollywood,1940,Feature,0.6222222222222222
Great Expectations,216,0.15211267605633802,0,12,United States,Hollywood,1940,Feature,0.26666666666666666
Great Expectations,655,0.4612676056338028,0,12,United States,Hollywood,1940,Feature,0.26666666666666666
Great Expectations,657,0.46267605633802816,0,16,United States,Hollywood,1940,Feature,0.35555555555555557
Great Expectations,826,0.5816901408450704,0,21,United States,Hollywood,1940,Feature,0.4666666666666667
Great Expectations,832,0.5859154929577465,0,20,United States,Hollywood,1940,Feature,0.4444444444444444
Great Expectations,833,0.5866197183098592,0,21,United States,Hollywood,1940,Feature,0.4666666666666667
Great Expectations,839,0.5908450704225352,0,45,United States,Hollywood,1940,Feature,1.0
Great Expectations,840,0.5915492957746479,0,33,United States,Hollywood,1940,Feature,0.7333333333333333
Great Expectations,841,0.5922535211267606,0,39,United States,Hollywood,1940,Feature,0.8666666666666667
Great Expectations,846,0.5957746478873239,0,16,United States,Hollywood,1940,Feature,0.35555555555555557
Great Expectations,847,0.5964788732394366,0,24,United States,Hollywood,1940,Feature,0.5333333333333333
Great Expectations,850,0.5985915492957746,0,42,United States,Hollywood,1940,Feature,0.9333333333333333
Great Expectations,1225,0.8626760563380281,0,40,United States,Hollywood,1940,Feature,0.8888888888888888
Great Expectations,1229,0.8654929577464788,0,16,United States,Hollywood,1940,Feature,0.35555555555555557
Great Expectations,1231,0.8669014084507042,0,12,United States,Hollywood,1940,Feature,0.26666666666666666
Great Expectations,1232,0.8676056338028169,0,14,United States,Hollywood,1940,Feature,0.3111111111111111
Citizen Kane,81,0.056524773203070484,0,16,United States,Hollywood,1940,Feature,0.20253164556962025
Citizen Kane,82,0.05722260990928123,0,18,United States,Hollywood,1940,Feature,0.22784810126582278
Citizen Kane,85,0.05931612002791347,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,86,0.06001395673412421,0,16,United States,Hollywood,1940,Feature,0.20253164556962025
Citizen Kane,87,0.06071179344033496,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,94,0.06559665038381018,0,18,United States,Hollywood,1940,Feature,0.22784810126582278
Citizen Kane,110,0.07676203768318214,0,28,United States,Hollywood,1940,Feature,0.35443037974683544
Citizen Kane,111,0.07745987438939288,0,25,United States,Hollywood,1940,Feature,0.31645569620253167
Citizen Kane,115,0.08025122121423586,0,16,United States,Hollywood,1940,Feature,0.20253164556962025
Citizen Kane,411,0.2868108862526169,0,15,United States,Hollywood,1940,Feature,0.189873417721519
Citizen Kane,487,0.33984647592463363,0,10,United States,Hollywood,1940,Feature,0.12658227848101267
Citizen Kane,492,0.3433356594556874,0,20,United States,Hollywood,1940,Feature,0.25316455696202533
Citizen Kane,494,0.34473133286810886,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,497,0.3468248429867411,0,12,United States,Hollywood,1940,Feature,0.1518987341772152
Citizen Kane,499,0.34822051639916257,0,15,United States,Hollywood,1940,Feature,0.189873417721519
Citizen Kane,500,0.34891835310537334,0,31,United States,Hollywood,1940,Feature,0.3924050632911392
Citizen Kane,502,0.35031402651779486,0,44,United States,Hollywood,1940,Feature,0.5569620253164557
Citizen Kane,503,0.35101186322400557,0,49,United States,Hollywood,1940,Feature,0.620253164556962
Citizen Kane,504,0.35170969993021634,0,30,United States,Hollywood,1940,Feature,0.379746835443038
Citizen Kane,505,0.3524075366364271,0,36,United States,Hollywood,1940,Feature,0.45569620253164556
