Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
lin jia pu zi,林家铺子,Beijing Film Studio,Beijing,True
wu ming dao,无名岛,Beijing Film Studio,Beijing,True
kuang deng,矿灯,Beijing Film Studio,Beijing,True
fei yue tian xian,飞越天险,Beijing Film Studio,Beijing,True
feng bao,风暴,Beijing Film Studio,Beijing,True
qing chun zhi ge,青春之歌,Beijing Film Studio,Beijing,True
huan tian xi di (1959),欢天喜地,Beijing Film Studio,Beijing,True
shui shang chun qiu,水上春秋,Beijing Film Studio,Beijing,True
liang shi,粮食,Beijing Film Studio,Beijing,True
bai feng chao yang,百凤朝阳,Beijing Film Studio,Beijing,True
san ge mu qin,三个母亲,Haiyan Film Studio,Shanghai (state),True
hao hai zi,好孩子,Haiyan Film Studio,Shanghai (state),
nie er,聂耳,Haiyan Film Studio,Shanghai (state),True
huang pu jiang de gu shi,黄浦江的故事,Haiyan Film Studio,Shanghai (state),False
jin tian wo xiu xi,今天我休息,Haiyan Film Studio,Shanghai (state),True
wan zi qian hong zong shi chun,万紫千红总是春,Haiyan Film Studio,Shanghai (state),
xiang hai yang,向海洋,Haiyan Film Studio,Shanghai (state),
qiao lao ye shang jiao,乔老爷上轿,Haiyan Film Studio,Shanghai (state),True
