Year,Topic,Count
1951,9,1
1951,8,3
1951,1,1
1951,0,1
1953,15,1
1951,3,1
1953,0,1
1951,2,1
1951,5,1
1951,4,1
1951,7,3
1953,5,1
1951,6,1
1949,8,2
1949,7,4
1949,9,2
1949,0,2
1949,2,2
1949,1,4
1949,3,1
1949,5,2
1952,10,1
1949,10,3
1949,11,4
1952,13,2
1950,9,1
1952,7,1
1949,12,2
1949,13,3
1949,14,1
1949,15,3
1951,10,1
1950,2,1
1950,1,3
1950,4,1
1950,3,1
1950,6,2
1950,5,1
1950,8,1
1950,7,2
1951,15,2
1951,13,2
1950,0,1
1951,11,2
1950,15,1
1950,12,1
1950,13,5
1950,10,1
1950,11,1
