Year,Topic,Count
1963,10,1
1966,14,1
1958,9,1
1966,13,1
1965,11,1
1966,10,1
1959,1,1
1960,14,1
1966,7,1
1960,15,1
1961,11,1
1962,12,2
1962,11,1
1965,15,1
1965,14,1
1961,12,1
1960,2,1
1964,1,1
1960,7,1
1964,4,1
1962,4,1
1963,6,1
1966,0,1
1963,4,1
