Year,Topic,Count
1959,9,1
1961,15,1
1965,7,1
1960,13,1
1962,15,1
1959,2,1
1960,15,1
1966,5,1
1960,10,1
1961,11,1
1959,4,1
1960,12,1
1965,15,1
1960,11,1
1962,0,1
1960,5,1
1960,7,1
1966,2,1
1963,3,1
1964,2,1
1965,1,1
1962,6,1
