Region,Topic,Probability
Xinjiang,7,0.9923448373500001
Xinjiang,9,0.00439864257
Xinjiang,4,0.0043986417
Xinjiang,3,0.00439864199
Xinjiang,6,0.0043986423
Xinjiang,5,0.004398642
Xinjiang,0,0.26673112964
Xinjiang,2,0.00439864272
Xinjiang,1,0.9898962407499999
Shanghai (private),15,7.046106986349997
Sichuan,15,0.0033631431000000003
Shandong,11,0.0029684572399999998
Sichuan,13,0.0033631434
Shandong,10,0.9684686464
Sichuan,14,0.0033631432
Shanghai (private),11,6.98250844784
Shandong,13,0.002968461
Sichuan,11,0.0033631436
Shanghai (private),12,3.0549031610500013
Shandong,12,0.0029684583499999997
Sichuan,12,0.9800951957999999
Shanghai (private),13,11.845314637109997
Shandong,15,0.00296845695
Shanghai (private),14,1.0494392302400006
Shandong,14,0.00296845655
Sichuan,10,0.003363144
Shanghai (private),10,5.964974251809998
Inner Mongolia,6,0.0014977611999999999
Inner Mongolia,5,0.0014977611
Inner Mongolia,4,0.00149776123
Inner Mongolia,3,0.00149776105
Inner Mongolia,9,0.0014977611
Inner Mongolia,8,0.00149776123
Inner Mongolia,7,1.9775336000000001
Shanghai (private),8,6.41295897825
Shanghai (private),9,3.5932701857900002
Shanghai (private),4,2.0610326585600007
Shanghai (private),5,4.593799268850001
Shanghai (private),6,3.0679767732000007
Shanghai (private),7,10.351877322869994
Anhui,8,0.00466465673
Anhui,9,0.0046646562400000004
Anhui,6,0.0046646563
Anhui,7,0.00466465673
Anhui,0,0.00466466015
Anhui,1,1.9848909506299999
Anhui,4,0.004664656530000001
Anhui,5,0.00466465668
Anhui,2,0.9943498416300001
Anhui,3,0.004664656630000001
Shanghai (private),0,4.963075990210001
Qinghai,8,6.582002E-4
Shanghai (private),1,7.940108103250001
Qinghai,9,6.5820024E-4
Shanghai (private),2,4.033497119910002
Qinghai,6,6.582001E-4
Shanghai (private),3,3.03915748028
Soviet Union,10,0.0010779377
Qinghai,7,6.582001E-4
Qinghai,0,6.5820065E-4
Qinghai,1,6.582004E-4
Qinghai,4,6.5820036E-4
Qinghai,5,6.582002E-4
Qinghai,2,6.582002E-4
Qinghai,3,6.582002E-4
Hong Kong,9,0.01099861775
Shanghai (roc),10,0.0047108747
Hong Kong,8,0.01099862015
Shanghai (roc),11,0.98469167146
Gansu,3,6.797101E-4
Hong Kong,5,1.0065518261500002
Shanghai (roc),14,0.00471087435
Gansu,4,6.7971E-4
Hong Kong,4,1.0012844839700001
Shanghai (roc),15,0.0047108746
Gansu,5,6.797101E-4
Western Europe,15,9.618731E-4
Hong Kong,7,0.01099861864
Shanghai (roc),12,0.00471087435
Gansu,6,6.797101E-4
Western Europe,14,0.9855719
Hong Kong,6,1.99293077502
Shanghai (roc),13,0.004710875
Hong Kong,1,0.99783093702
Gansu,0,6.797101E-4
Hong Kong,0,2.11204344681
Gansu,1,0.9898043
Hong Kong,3,1.0013788867300002
Gansu,2,6.797101E-4
Hong Kong,2,0.01099861767
Xi'an,13,1.01536695368
Xi'an,14,0.025898151400000003
Xi'an,15,3.96200297586
Western Europe,13,9.618732E-4
Western Europe,12,9.618731E-4
Xi'an,10,1.0146559101000001
Beijing,11,23.00782407064
Western Europe,11,9.618731E-4
Xi'an,11,1.9792000846699997
Beijing,10,13.959817710029997
Western Europe,10,9.618732E-4
Xi'an,12,1.0127323964399997
Hubei,15,0.00667624935
Beijing,13,10.511010583649993
Beijing,12,10.018068115169998
Beijing,15,8.226839462569997
Beijing,14,13.030886309849995
Hubei,10,0.00667624844
Hubei,11,0.9940087418899999
Hubei,12,0.006676248269999999
Hubei,13,0.00667624744
Hubei,14,0.00667624735
Shandong,7,0.0029684563999999997
Shandong,8,0.002968457
Shandong,9,0.002968457
Hong Kong,15,0.010998618190000002
Hong Kong,14,0.42289841066
Hong Kong,13,0.01099861741
Hong Kong,12,2.9802914410300003
Hong Kong,11,3.4156784338100006
Jiangsu,6,0.98495251983
Jiangsu,7,0.0013523499299999998
Jiangsu,4,0.00135234987
Jiangsu,5,0.0013523499299999998
Gansu,15,6.797103E-4
Jiangsu,2,0.00135234986
Gansu,14,6.797101E-4
Jiangsu,3,0.0013523499299999998
Gansu,13,6.797103E-4
Jiangsu,0,0.00135235076
Gansu,12,6.797101E-4
Jiangsu,1,0.00135234988
Gansu,11,6.797102E-4
Hong Kong,10,1.00311979048
Shandong,0,0.0029684565999999997
Gansu,10,6.797104E-4
Tianjin,10,0.98622423505
Shandong,1,0.0029684571
Shandong,2,0.9899729909
Shandong,3,0.0029684565999999997
Shandong,4,0.0029684563999999997
Shandong,5,0.0029684574500000002
Jiangsu,8,0.0013523500299999999
Shandong,6,0.0029684590999999997
Jiangsu,9,0.00135234998
Canton,10,2.0013242863899996
Canton,12,3.00414787249
Tianjin,15,0.0018579422700000002
Canton,11,2.99315752513
Gansu,7,6.7971E-4
Canton,14,2.8608516606400003
Tianjin,13,0.0018579422499999999
