jie hun,Northeast Film Studio,Northeast
xiao gu xian,Northeast Film Studio,Northeast
zhi qu hua shan,Beijing Film Studio,Beijing
zhao xiao lan,Beijing Film Studio,Beijing
jin yin tan,Shanghai Film Studio,Shanghai (state)
fang hua qu,Changjiang-Kunlun Associated Film Studio,Shanghai (state)
wei hai zi men zhu fu,Changjiang-Kunlun Associated Film Studio,Shanghai (state)
tai yang zhao liang le hong shi gou,Wenhua Film Company,Shanghai (private)
ying xiong si ji,Northeast Film Studio,Northeast
chun feng chui dao nuo min he,Northeast Film Studio,Northeast
sha jia dian liang zhan,Northeast Film Studio,Northeast
tu di,Northeast Film Studio,Northeast
wu qiong de qian li,Northeast Film Studio,Northeast
ren wang gao chu zou,Northeast Film Studio,Northeast
yu zhou feng,Northeast Film Studio,Northeast
shi yu zhuo,Northeast Film Studio,Northeast
xiao bai tu,Beijing Film Studio,Beijing
yi jian ti an,Beijing Film Studio,Beijing
ji mao xin,Shanghai Film Studio,Shanghai (state)
zhan duan mo zhua,Shanghai Film Studio,Shanghai (state)
san nian,Shanghai Film Studio,Shanghai (state)
wei da de qi dian,Shanghai Film Studio,Shanghai (state)
du jiang zhen cha ji,Shanghai Film Studio,Shanghai (state)
huai shang ren jia,Shanghai Film Studio,Shanghai (state)
shan jian ling xiang ma bang lai,Shanghai Film Studio,Shanghai (state)
yi chang feng bo,Shanghai Film Studio,Shanghai (state)
bu neng zou na tiao lu,Shanghai Film Studio,Shanghai (state)
fu nv dai biao,Shanghai Film Studio,Shanghai (state)
liang shan bo yu zhu ying tai,Shanghai Film Studio,Shanghai (state)
shuang tui mo,Shanghai Film Studio,Shanghai (state)
lan qiao hui,Shanghai Film Studio,Shanghai (state)
gai jiao tian de wu tai yi shu,Shandong Film Studio,Shandong
chuan ju ji jin,Central Newsreel and Documentary Film Studio,Beijing
zu guo de hua duo,Changchun Film Studio,Northeast
meng he de li ming,Changchun Film Studio,Northeast
xia tian de gu shi,Changchun Film Studio,Northeast
shen mi de lv ban,Changchun Film Studio,Northeast
ping yuan you ji dui,Changchun Film Studio,Northeast
luo xiao lin de jue xin,Changchun Film Studio,Northeast
dong cun rui,Changchun Film Studio,Northeast
nu hai qing qi,Changchun Film Studio,Northeast
qin xiang lian,Changchun Film Studio,Northeast
da jin zhi,Changchun Film Studio,Northeast
mei lan fang de wu tai yi shu (shang ji),Beijing Film Studio,Beijing
ha sen yu jia mi la,Shanghai Film Studio,Shanghai (state)
tian luo di wang,Shanghai Film Studio,Shanghai (state)
shui xiang de chun tian,Shanghai Film Studio,Shanghai (state)
qing chun de yuan di,Shanghai Film Studio,Shanghai (state)
hu shang de dou zheng,Shanghai Film Studio,Shanghai (state)
min jiang ju zi hong,Shanghai Film Studio,Shanghai (state)
nan dao feng yun,Shanghai Film Studio,Shanghai (state)
song jing shi,Shanghai Film Studio,Shanghai (state)
shang jin shan,Shanghai Film Studio,Shanghai (state)
guang chang za ji biao yan,Shanghai Film Studio,Shanghai (state)
lian yin,Shanghai Film Studio,Shanghai (state)
tian xian pei,Shanghai Film Studio,Shanghai (state)
jiao yin,August First Film Studio,Beijing
huang he da he chang,Central Newsreel and Documentary Film Studio,Beijing
hu xue zhui zong,Changchun Film Studio,Northeast
pu bu mie de huo yan,Changchun Film Studio,Northeast
xin ju zhang dao lai zhi qian,Changchun Film Studio,Northeast
ma lan hua kai,Changchun Film Studio,Northeast
