Source,Target,Weight,SourceName,TargetName
15,2,2,"Shanghai (roc)","Shanghai (state) & Shanghai (private)"
8,10,1,"Shanghai (private)","Hubei"
8,35,1,"Shanghai (private)","Beijing & Tianjin"
14,11,7,"Xi'an & Qinghai","Xi'an"
1,22,1,"Northeast","Tianjin"
4,17,1,"Beijing","Shanghai (state) & Jiangsu"
0,24,3,"Shanghai (state)","Zhejiang"
1,14,1,"Northeast","Xi'an & Qinghai"
40,7,1,"Beijing & Shanghai (state) & Anhui","Anhui"
3,0,1,"Shanghai (state) & Anhui","Shanghai (state)"
4,12,1,"Beijing","Hong Kong & Canton"
15,4,2,"Shanghai (roc)","Beijing"
12,9,19,"Hong Kong & Canton","Canton"
13,1,1,"Shanghai (state) & Hong Kong","Northeast"
0,10,13,"Shanghai (state)","Hubei"
2,0,4,"Shanghai (state) & Shanghai (private)","Shanghai (state)"
2,8,2,"Shanghai (state) & Shanghai (private)","Shanghai (private)"
2,1,2,"Shanghai (state) & Shanghai (private)","Northeast"
4,1,112,"Beijing","Northeast"
41,1,1,"Beijing & Shanghai (private) & Northeast","Northeast"
10,9,4,"Hubei","Canton"
20,1,1,"Beijing & Xi'an","Northeast"
15,8,7,"Shanghai (roc)","Shanghai (private)"
29,0,5,"Shanghai (roc) & Shanghai (private)","Shanghai (state)"
